"taxonomy1","taxonomy2","taxonomy3","taxonomy4","taxonomy5","taxonomy6","taxonomy7","taxonomy8"
"Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","Vicinamibacteraceae","NA","NA","OTU_244"
"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Rhodoplanes","NA","OTU_440"
"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Pseudorhodoplanes","NA","OTU_3275"
"Bacteria","Bacteroidota","Kapabacteria","Kapabacteriales","NA","NA","NA","OTU_4167"
"Bacteria","Actinobacteriota","Thermoleophilia","Gaiellales","NA","NA","NA","OTU_5474"
"Bacteria","Chloroflexi","KD4-96","NA","NA","NA","NA","OTU_735"
"Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae","Gemmata","NA","OTU_659"
"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","ADurb.Bin063-1","NA","OTU_1341"
"Bacteria","Acidobacteriota","Acidobacteriae","Bryobacterales","Bryobacteraceae","Bryobacter","NA","OTU_172"
"Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae","NA","NA","OTU_857"
"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","Ellin517","NA","OTU_206"
"Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Conexibacter","NA","OTU_533"
"Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","NA","NA","NA","OTU_221"
"Bacteria","Acidobacteriota","Acidobacteriae","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","Terracidiphilus","NA","OTU_559"
"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","NA","NA","OTU_292"
"Bacteria","Acidobacteriota","Acidobacteriae","Acidobacteriales","NA","NA","NA","OTU_26"
"Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","NA","NA","NA","OTU_364"
"Bacteria","Acidobacteriota","Blastocatellia","Pyrinomonadales","Pyrinomonadaceae","RB41","NA","OTU_131"
"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Ellin6055","NA","OTU_91"
"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","NA","NA","OTU_101"
"Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Arthrobacter","NA","OTU_2"
"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","NA","NA","OTU_31"
"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","NA","NA","OTU_106"
"Bacteria","Acidobacteriota","Acidobacteriae","Bryobacterales","Bryobacteraceae","Bryobacter","NA","OTU_239"
"Archaea","Crenarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae","Candidatus Nitrocosmicus","NA","OTU_22"
"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","NA","OTU_275"
"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","Devosia","NA","OTU_28"
"Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria Incertae Sedis","Unknown Family","Acidibacter","NA","OTU_2314"
"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Ferruginibacter","NA","OTU_2791"
"Bacteria","Acidobacteriota","Blastocatellia","Pyrinomonadales","Pyrinomonadaceae","RB41","NA","OTU_1394"
"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","NA","NA","OTU_317"
"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Candidatus Udaeobacter","NA","OTU_81"
"Bacteria","Proteobacteria","Alphaproteobacteria","Elsterales","NA","NA","NA","OTU_1076"
"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","211ds20","NA","NA","OTU_2747"
"Bacteria","Actinobacteriota","Actinobacteria","Micromonosporales","Micromonosporaceae","Asanoa","NA","OTU_5211"
"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Candidatus Udaeobacter","NA","OTU_10"
"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Candidatus Udaeobacter","NA","OTU_162"
"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","NA","OTU_260"
"Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","NA","NA","NA","OTU_109"
"Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","67-14","NA","NA","OTU_3445"
"Archaea","Crenarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae","NA","NA","OTU_1245"
"Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Mucilaginibacter","NA","OTU_5250"
"Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Steroidobacteraceae","Steroidobacter","NA","OTU_8"
"Archaea","Crenarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae","NA","NA","OTU_209"
"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","TRA3-20","NA","NA","OTU_9469"
"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","ADurb.Bin063-1","NA","OTU_7960"
"Bacteria","Myxococcota","Polyangia","Polyangiales","Polyangiaceae","NA","NA","OTU_2663"
"Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","NA","NA","OTU_2298"
"Bacteria","Actinobacteriota","Actinobacteria","0319-7L14","NA","NA","NA","OTU_3029"
"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","NA","OTU_25"
"Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","NA","NA","NA","OTU_2864"
"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Rhodanobacter","NA","OTU_287"
"Bacteria","Actinobacteriota","Actinobacteria","Frankiales","Frankiaceae","Jatrophihabitans","NA","OTU_1435"
"Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","Hirschia","NA","OTU_3059"
"Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria Incertae Sedis","Unknown Family","Acidibacter","NA","OTU_389"
"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","NA","NA","OTU_2277"
"Bacteria","Acidobacteriota","Acidobacteriae","Acidobacteriales","NA","NA","NA","OTU_123"
"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pir4 lineage","NA","OTU_360"
"Bacteria","Actinobacteriota","Thermoleophilia","Gaiellales","NA","NA","NA","OTU_795"
"Bacteria","Proteobacteria","Gammaproteobacteria","KF-JG30-C25","NA","NA","NA","OTU_2820"
"Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Kribbella","NA","OTU_175"
"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Mesorhizobium","mediterraneum","OTU_65"
"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Edaphobaculum","NA","OTU_1928"
"Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Solirubrobacter","NA","OTU_16003"
"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","NA","NA","OTU_250"
"Bacteria","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonas","NA","OTU_146"
"Bacteria","Acidobacteriota","Blastocatellia","Blastocatellales","Blastocatellaceae","NA","NA","OTU_348"
"Bacteria","Cyanobacteria","Vampirivibrionia","Vampirovibrionales","Vampirovibrionaceae","NA","NA","OTU_6395"
"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","smithii","OTU_17850"
"Bacteria","Acidobacteriota","Holophagae","Subgroup 7","NA","NA","NA","OTU_996"
"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","NA","NA","OTU_3255"
"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","thuringiensis","OTU_1386"
"Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","Vicinamibacteraceae","NA","NA","OTU_13"
"Bacteria","Actinobacteriota","Actinobacteria","NA","NA","NA","NA","OTU_127"
"Bacteria","Actinobacteriota","Actinobacteria","Micromonosporales","Micromonosporaceae","Actinoplanes","NA","OTU_1589"
"Archaea","Crenarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae","NA","NA","OTU_307"
"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","Ellin517","NA","OTU_34"
"Bacteria","Acidobacteriota","Blastocatellia","Pyrinomonadales","Pyrinomonadaceae","RB41","NA","OTU_4"
"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","NA","OTU_904"
"Bacteria","Chloroflexi","TK10","NA","NA","NA","NA","OTU_74"
"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Rhodoplanes","NA","OTU_190"
"Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","NA","NA","OTU_1283"
"Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Intrasporangiaceae","Knoellia","NA","OTU_392"
"Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","Vicinamibacteraceae","NA","NA","OTU_9"
"Bacteria","Actinobacteriota","Actinobacteria","Frankiales","Sporichthyaceae","NA","NA","OTU_657"
"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Candidatus Udaeobacter","NA","OTU_233"
"Bacteria","Actinobacteriota","Thermoleophilia","Gaiellales","NA","NA","NA","OTU_668"
"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","NA","NA","OTU_905"
"Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","NA","NA","NA","OTU_30"
"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Candidatus Udaeobacter","NA","OTU_100"
"Bacteria","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","NA","NA","OTU_54"
"Bacteria","Armatimonadota","Fimbriimonadia","Fimbriimonadales","Fimbriimonadaceae","NA","NA","OTU_8721"
"Bacteria","Proteobacteria","Alphaproteobacteria","Micropepsales","Micropepsaceae","NA","NA","OTU_414"
"Bacteria","Acidobacteriota","Blastocatellia","Pyrinomonadales","Pyrinomonadaceae","RB41","NA","OTU_12"
"Bacteria","Chloroflexi","JG30-KF-CM66","NA","NA","NA","NA","OTU_9438"
"Bacteria","Armatimonadota","NA","NA","NA","NA","NA","OTU_20060"
"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","TRA3-20","NA","NA","OTU_1497"
"Bacteria","Chloroflexi","Anaerolineae","SBR1031","NA","NA","NA","OTU_3784"
"Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","NA","NA","OTU_7039"
"Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","NA","NA","NA","OTU_151"
"Bacteria","Myxococcota","bacteriap25","NA","NA","NA","NA","OTU_1689"
"Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira","japonica","OTU_42"
"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Pseudolabrys","NA","OTU_21"
"Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Sporosarcina","ureae","OTU_7327"
"Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","67-14","NA","NA","OTU_1994"
"Archaea","Crenarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae","Candidatus Nitrocosmicus","NA","OTU_242"
"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","ADurb.Bin063-1","NA","OTU_2258"
"Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","Vicinamibacteraceae","Vicinamibacter","NA","OTU_829"
"Bacteria","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Roseisolibacter","NA","OTU_7523"
"Archaea","Crenarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae","NA","NA","OTU_53"
"Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","NA","NA","NA","OTU_1753"
"Archaea","Crenarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae","NA","NA","OTU_238"
"Bacteria","Planctomycetota","Phycisphaerae","Tepidisphaerales","WD2101 soil group","NA","NA","OTU_456"
"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Candidatus Udaeobacter","NA","OTU_5"
"Bacteria","Acidobacteriota","Blastocatellia","Pyrinomonadales","Pyrinomonadaceae","RB41","NA","OTU_369"
"Bacteria","Planctomycetota","Phycisphaerae","Tepidisphaerales","WD2101 soil group","NA","NA","OTU_6067"
"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium","resinovorum","OTU_5572"
"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Pseudochrobactrum","NA","OTU_5246"
"Bacteria","Actinobacteriota","Actinobacteria","NA","NA","NA","NA","OTU_112"
"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pirellula","NA","OTU_4491"
"Bacteria","Myxococcota","Polyangia","Haliangiales","Haliangiaceae","Haliangium","NA","OTU_215"
"Bacteria","Gemmatimonadota","S0134 terrestrial group","NA","NA","NA","NA","OTU_3771"
"Bacteria","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","NA","NA","OTU_20"
"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Ellin6055","NA","OTU_19"
"Bacteria","Acidobacteriota","Holophagae","Subgroup 7","NA","NA","NA","OTU_118"
"Bacteria","Actinobacteriota","MB-A2-108","NA","NA","NA","NA","OTU_443"
"Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Aeromicrobium","NA","OTU_252"
"Bacteria","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonas","NA","OTU_2739"
"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","NA","NA","OTU_2647"
"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Rubritaleaceae","Luteolibacter","NA","OTU_6838"
"Bacteria","NA","NA","NA","NA","NA","NA","OTU_15631"
"Archaea","Crenarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae","Candidatus Nitrososphaera","NA","OTU_1147"
"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Candidatus Udaeobacter","NA","OTU_6"
"Bacteria","Acidobacteriota","Acidobacteriae","Bryobacterales","Bryobacteraceae","Bryobacter","NA","OTU_4384"
"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Segetibacter","NA","OTU_2300"
"Bacteria","Proteobacteria","Gammaproteobacteria","Salinisphaerales","Solimonadaceae","Fontimonas","NA","OTU_3305"
"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","NA","NA","OTU_2923"
"Bacteria","Acidobacteriota","Subgroup 5","NA","NA","NA","NA","OTU_8221"
