"taxonomy1","taxonomy2","taxonomy3","taxonomy4","taxonomy5","taxonomy6","taxonomy7","taxonomy8"
"Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Linnemannia","amoeboidea","OTU_35"
"Fungi","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Rhizoclosmatium","pessaminum","OTU_143"
"Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Piskurozymaceae","Solicoccozyma","NA","OTU_155"
"Fungi","Ascomycota","Sordariomycetes","Xylariales","Microdochiaceae","Microdochium","panattonianum","OTU_14"
"Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella","yunnanensis","OTU_34"
"Fungi","Ascomycota","NA","NA","NA","NA","NA","OTU_23"
"Fungi","Ascomycota","Sordariomycetes","Xylariales","Microdochiaceae","Microdochium","panattonianum","OTU_13"
"Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Parachaetomium","carinthiacum","OTU_226"
"Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Talaromyces","pinophilus","OTU_27"
"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Limnoperdaceae","Limnoperdon","NA","OTU_347"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","tenuissima","OTU_2"
"Fungi","Ascomycota","NA","NA","NA","NA","NA","OTU_7"
"Fungi","NA","NA","NA","NA","NA","NA","OTU_4"
"Fungi","Basidiomycota","Tremellomycetes","Cystofilobasidiales","Mrakiaceae","Tausonia","pullulans","OTU_10"
"Fungi","Ascomycota","NA","NA","NA","NA","NA","OTU_12"
"Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","NA","NA","OTU_45"
"Fungi","Ascomycota","Dothideomycetes","Cladosporiales","Cladosporiaceae","Cladosporium","cladosporioides","OTU_97"
"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","NA","OTU_1"
"Fungi","NA","NA","NA","NA","NA","NA","OTU_3"
"Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Talaromyces","purpureogenus","OTU_38"
"Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Parachaetomium","carinthiacum","OTU_18"
"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","equiseti","OTU_26"
"Fungi","Ascomycota","Sordariomycetes","Sordariales","Podosporaceae","Triangularia","NA","OTU_152"
