Domain	Status	Genome ID	Genome Name	
Archaea	Finished	2506783052	halophilic archaeon DL31	
Archaea	Permanent Draft	2517287024	Natronorubrum tibetense DSM 13204	
Archaea	Permanent Draft	2518645512	Halophilic archaeon A07HB70	
Archaea	Permanent Draft	2529293211	Natronorubrum tibetense GA33	
Archaea	Permanent Draft	2554235477	Natronococcus amylolyticus DSM 10524	
Archaea	Finished	8064847573	Haladaptatus halobius PSR5	
Archaea	Permanent Draft	2636416021	Natronorubrum texcoconense DSM 25211	
Archaea	Permanent Draft	2695420988	Halobaculum gomorrense DSM 9297	
Archaea	Permanent Draft	2724679803	Halorubrum vacuolatum DSM 8800	
Archaea	Permanent Draft	2756170195	Halobaculum sp. WSA2	
Archaea	Permanent Draft	2795385312	Uncultured Haloferacaceae archaeon SG1_65_10	
Archaea	Permanent Draft	2795385313	Uncultured Haloferacaceae archaeon SG1_64_39	
Archaea	Permanent Draft	2795385324	Uncultured Halobacteriaceae archaeon SG1_69_8	
Archaea	Permanent Draft	2795385340	Uncultured Halobacteriaceae archaeon SG1_66_56	
Archaea	Permanent Draft	2795385351	Uncultured Halobacteriaceae archaeon SG1_60_4	
Archaea	Permanent Draft	2795385352	Uncultured Halobacteria archaeon SG1_73_11	
Archaea	Permanent Draft	2795385355	Uncultured Halobacteria archaeon SG1_70_13	
Archaea	Permanent Draft	2795385366	Uncultured Halobacteria archaeon SG1_65_47	
Archaea	Permanent Draft	2795385367	Uncultured Halobacteria archaeon SG1_65_131	
Archaea	Permanent Draft	2795385391	Halolamina sp. SG1_67_18	
Archaea	Permanent Draft	2989163231	Halorussus litoreus HD8-51	
Archaea	Permanent Draft	2993741183	Salinirussus salinus YGH44	
Archaea	Finished	3000725785	Halobaculum salinum NJ-3-1	
Archaea	Finished	3000739867	Halobaculum halophilum Gai3-2	
Archaea	Permanent Draft	3000939717	Natronococcus pandeyae LS1_42	
Archaea	Permanent Draft	3001197267	Natronomonas gomsonensis YCN60	
Archaea	Permanent Draft	3002713209	Haloferax litoreum MBLA0076	
Archaea	Finished	8054601209	Natronobeatus ordinarius WLHSJ27	
Archaea	Permanent Draft	8054619357	Natronomonas aquatica F2-12	
Archaea	Permanent Draft	8054626993	Haloarchaeobius salinus YC82	
Archaea	Finished	8056410423	Halobaculum rubrum C46	
Archaea	Finished	8063877514	Halobaculum magnesiiphilum NBRC 109044	
Archaea	Finished	8063881349	Halobaculum roseum CGMCC 1.15501	
Archaea	Permanent Draft	8063885194	Halobaculum saliterrae WSA2	
Archaea	Finished	8064863149	Haladaptatus salinisoli PSR8	
Archaea	Permanent Draft	8101039309	Haloferax sp. CBA1148	
Archaea	Finished	8120759350	Halobacteriaceae archaeon YIM 93972	
Bacteria	Finished	637000002	Acinetobacter baylyi ADP1	
Bacteria	Finished	637000038	Bradyrhizobium japonicum USDA 110	
Bacteria	Finished	637000046	Burkholderia orbicola AU 1054	
Bacteria	Finished	637000047	Burkholderia cepacia AMMD	
Bacteria	Finished	637000234	Rhodococcus jostii RHA1	
Bacteria	Finished	637000237	Rhodopseudomonas palustris BisB18	
Bacteria	Finished	637000238	Rhodopseudomonas pseudopalustris BisB5	
Bacteria	Finished	637000239	Rhodopseudomonas palustris CGA009	
Bacteria	Finished	637000240	Rhodopseudomonas palustris HaA2	
Bacteria	Finished	637000248	Rubrobacter xylanophilus DSM 9941	
