Sequence_ID	sample_name
OTU_35	P1_E12_PI600723_R3
OTU_143	P1_E12_PI600723_R3
OTU_155	P1_E12_PI600723_R3
OTU_14	P1_E12_PI600723_R3
OTU_34	P1_E12_PI600723_R3
OTU_23	P1_E12_PI600723_R3
OTU_13	P1_E12_PI600723_R3
OTU_226	P1_G7_PI650515_R3
OTU_27	P1_G8_PI650798_R3
OTU_347	P1_H8_HA441_R3
OTU_2	P1_E12_PI600723_R3
OTU_7	P1_E12_PI600723_R3
OTU_4	P1_E12_PI600723_R3
OTU_10	P1_E12_PI600723_R3
OTU_12	P1_E12_PI600723_R3
OTU_45	P1_E12_PI600723_R3
OTU_97	P1_E12_PI600723_R3
OTU_1	P1_E12_PI600723_R3
OTU_3	P1_E12_PI600723_R3
OTU_38	P1_E12_PI600723_R3
OTU_18	P1_E12_PI600723_R3
OTU_26	P1_E12_PI600723_R3
OTU_152	P1_H6_PI507903_R1
OTU_281	P1_H6_PI507903_R1
OTU_5	P1_G8_PI650798_R3
OTU_156	P3_D11_PI507925_R3
OTU_8	P1_E12_PI600723_R3
OTU_11	P1_E12_PI600723_R3
OTU_21	P1_E12_PI600723_R3
OTU_56	P1_E12_PI600723_R3
OTU_76	P1_H6_PI507903_R1
OTU_60	P1_E12_PI600723_R3
OTU_92	P1_E12_PI600723_R3
OTU_118	P1_E12_PI600723_R3
OTU_1696	P2_E10_PI650349_R1
OTU_393	P2_H9_PI531360_R3
OTU_9	P1_E12_PI600723_R3
OTU_302	P1_E12_PI600723_R3
OTU_30	P1_E12_PI600723_R3
OTU_51	P1_E12_PI600723_R3
OTU_29	P1_E12_PI600723_R3
OTU_33	P1_E12_PI600723_R3
OTU_25	P1_E12_PI600723_R3
OTU_20	P1_E12_PI600723_R3
OTU_64	P1_E12_PI600723_R3
OTU_47	P1_E12_PI600723_R3
OTU_15	P1_E12_PI600723_R3
OTU_82	P1_E12_PI600723_R3
OTU_43	P1_E12_PI600723_R3
OTU_121	P1_E12_PI600723_R3
OTU_16	P1_E12_PI600723_R3
OTU_115	P1_H6_PI507903_R1
OTU_400	P1_F6_PI535892_R1
OTU_22	P1_E12_PI600723_R3
OTU_17	P1_E12_PI600723_R3
OTU_81	P1_E12_PI600723_R3
OTU_99	P1_E12_PI600723_R3
OTU_19	P1_E12_PI600723_R3
OTU_65	P1_E12_PI600723_R3
OTU_80	P1_E12_PI600723_R3
OTU_39	P1_E12_PI600723_R3
OTU_95	P1_E12_PI600723_R3
OTU_189	P1_E12_PI600723_R3
OTU_381	P1_A6_PI650803_R1
OTU_63	P1_G8_PI650798_R3
OTU_59	P1_E12_PI600723_R3
OTU_77	P1_E12_PI600723_R3
OTU_131	P1_H6_PI507903_R1
OTU_93	P1_E12_PI600723_R3
OTU_568	P1_H8_HA441_R3
OTU_87	P1_E12_PI600723_R3
OTU_134	P1_E12_PI600723_R3
OTU_310	P1_G8_PI650798_R3
OTU_109	P1_H6_PI507903_R1
OTU_225	P1_E12_PI600723_R3
OTU_31	P1_E12_PI600723_R3
OTU_986	P1_D11_PI526252_R3
OTU_52	P1_E12_PI600723_R3
OTU_58	P1_E12_PI600723_R3
OTU_66	P1_E12_PI600723_R3
OTU_62	P1_E12_PI600723_R3
OTU_592	P1_G8_PI650798_R3
OTU_88	P1_E12_PI600723_R3
OTU_185	P1_H6_PI507903_R1
OTU_129	P1_H6_PI507903_R1
OTU_808	P1_E12_PI600723_R3
OTU_1899	P1_H8_HA441_R3
OTU_94	P1_H6_PI507903_R1
OTU_291	P1_E12_PI600723_R3
OTU_158	P1_G8_PI650798_R3
OTU_69	P1_E12_PI600723_R3
OTU_79	P1_E12_PI600723_R3
OTU_44	P1_E12_PI600723_R3
OTU_117	P1_E12_PI600723_R3
OTU_278	P1_H6_PI507903_R1
OTU_474	P1_H8_HA441_R3
OTU_193	P1_E12_PI600723_R3
OTU_356	P1_F3_PI531366_R3
OTU_112	P1_E12_PI600723_R3
OTU_311	P1_G7_PI650515_R3
OTU_250	P1_E12_PI600723_R3
OTU_1263	P1_H6_PI507903_R1
OTU_287	P1_G7_PI650515_R3
OTU_154	P1_E12_PI600723_R3
OTU_195	P1_E12_PI600723_R3
OTU_96	P1_H6_PI507903_R1
OTU_145	P1_H8_HA441_R3
OTU_139	P1_E12_PI600723_R3
OTU_126	P1_E12_PI600723_R3
OTU_101	P1_E12_PI600723_R3
OTU_57	P1_E12_PI600723_R3
OTU_84	P1_E12_PI600723_R3
OTU_78	P1_E12_PI600723_R3
OTU_948	P1_A6_PI650803_R1
OTU_266	P1_E12_PI600723_R3
OTU_188	P1_E12_PI600723_R3
OTU_2507	P1_H11_PI650757_R1
OTU_1756	P1_A4_PI650837_R1
OTU_132	P1_G8_PI650798_R3
OTU_125	P3_G6_PI511760_R2
OTU_104	P1_F6_PI535892_R1
OTU_111	P1_E12_PI600723_R3
OTU_167	P1_H6_PI507903_R1
OTU_441	P1_G8_PI650798_R3
OTU_49	P1_E12_PI600723_R3
OTU_98	P1_E12_PI600723_R3
OTU_54	P1_E12_PI600723_R3
OTU_230	P1_E12_PI600723_R3
OTU_149	P1_E12_PI600723_R3
OTU_70	P1_E12_PI600723_R3
OTU_48	P1_E12_PI600723_R3
OTU_166	P1_E12_PI600723_R3
OTU_236	P1_E12_PI600723_R3
OTU_280	P1_E12_PI600723_R3
OTU_201	P1_E12_PI600723_R3
OTU_271	P1_H3_PI600718_R3
OTU_147	P1_H6_PI507903_R1
OTU_71	P1_E12_PI600723_R3
OTU_74	P1_E12_PI600723_R3
OTU_522	P1_G8_PI650798_R3
OTU_138	P1_G8_PI650798_R3
OTU_361	P1_H8_HA441_R3
OTU_182	P1_E12_PI600723_R3
OTU_191	P1_H6_PI507903_R1
OTU_1385	P3_G6_PI511760_R2
OTU_297	P1_F6_PI535892_R1
OTU_255	P1_E12_PI600723_R3
OTU_231	P1_G8_PI650798_R3
OTU_163	P1_G7_PI650515_R3
OTU_212	P1_E12_PI600723_R3
OTU_234	P1_G8_PI650798_R3
OTU_162	P1_G8_PI650798_R3
OTU_637	P1_G7_PI650515_R3
OTU_241	P1_E12_PI600723_R3
OTU_460	P1_G8_PI650798_R3
OTU_224	P1_E12_PI600723_R3
OTU_561	P1_G8_PI650798_R3
OTU_181	P1_E12_PI600723_R3
OTU_75	P1_E12_PI600723_R3
OTU_325	P1_G5_PI650778_R1
OTU_217	P1_E12_PI600723_R3
OTU_1010	P1_E6_PI526257_R1
OTU_91	P1_E12_PI600723_R3
OTU_178	P4_A9_PI531360_R4
OTU_90	P1_E12_PI600723_R3
OTU_124	P1_H6_PI507903_R1
OTU_198	P1_G7_PI650515_R3
OTU_415	P1_H6_PI507903_R1
OTU_68	P1_E12_PI600723_R3
OTU_883	P1_G5_PI650778_R1
OTU_184	P1_H8_HA441_R3
OTU_237	P1_F6_PI535892_R1
OTU_1361	P2_D9_HA412HO_R4
OTU_374	P1_E12_PI600723_R3
OTU_168	P1_E12_PI600723_R3
OTU_2436	P3_G4_RHA409_R2
OTU_180	P1_E12_PI600723_R3
OTU_456	P1_G4_PI432519_R1
OTU_216	P1_E12_PI600723_R3
OTU_1173	P3_D11_PI507925_R3
OTU_586	P3_G6_PI511760_R2
OTU_698	P1_H6_PI507903_R1
OTU_196	P1_G8_PI650798_R3
OTU_834	P1_H3_PI600718_R3
OTU_85	P1_E12_PI600723_R3
OTU_1143	P1_H6_PI507903_R1
OTU_208	P2_H9_PI531360_R3
OTU_258	P1_E12_PI600723_R3
OTU_571	P1_F6_PI535892_R1
OTU_151	P1_H6_PI507903_R1
OTU_1132	P1_F3_PI531366_R3
OTU_338	P1_E12_PI600723_R3
OTU_560	P1_E12_PI600723_R3
OTU_102	P1_E12_PI600723_R3
OTU_323	P1_G8_PI650798_R3
OTU_353	P1_G8_PI650798_R3
OTU_227	P1_G8_PI650798_R3
OTU_875	P1_B7_PI526263_R3
OTU_120	P1_E12_PI600723_R3
OTU_130	P1_E12_PI600723_R3
OTU_209	P1_E12_PI600723_R3
OTU_86	P1_E12_PI600723_R3
OTU_1107	P1_G5_PI650778_R1
OTU_320	P1_H6_PI507903_R1
OTU_197	P3_G6_PI511760_R2
OTU_420	P2_C9_PI650760_R3
OTU_1415	P1_A8_PI600807_R3
OTU_164	P1_E12_PI600723_R3
OTU_542	P1_B7_PI526263_R3
OTU_240	P4_G2_PI650525_R4
OTU_221	P1_G7_PI650515_R3
OTU_911	P1_A12_PI650818_R3
OTU_537	P4_G2_PI650525_R4
OTU_141	P1_H8_HA441_R3
OTU_83	P1_E12_PI600723_R3
OTU_639	P1_G4_PI432519_R1
OTU_248	P1_G8_PI650798_R3
OTU_202	P1_G8_PI650798_R3
OTU_199	P1_E12_PI600723_R3
OTU_2182	P1_A8_PI600807_R3
OTU_480	P1_H6_PI507903_R1
OTU_239	P1_G8_PI650798_R3
OTU_442	P1_F3_PI531366_R3
OTU_172	P1_E12_PI600723_R3
OTU_417	P1_F6_PI535892_R1
OTU_313	P1_E12_PI600723_R3
OTU_1064	P1_G4_PI432519_R1
OTU_928	P4_D4_PI650687_R4
OTU_1252	P3_H6_PI650386_R2
OTU_375	P3_G6_PI511760_R2
OTU_504	P1_G8_PI650798_R3
OTU_1758	P1_H1_PI650758_R1
OTU_305	P1_F6_PI535892_R1
OTU_587	P1_E12_PI600723_R3
OTU_2560	P1_G5_PI650778_R1
OTU_207	P1_E12_PI600723_R3
OTU_476	P1_H8_HA441_R3
OTU_89	P1_E12_PI600723_R3
OTU_703	P3_D11_PI507925_R3
OTU_913	P1_H5_PI650807_R1
OTU_220	P1_G8_PI650798_R3
OTU_249	P1_G8_PI650798_R3
OTU_279	P1_E12_PI600723_R3
OTU_157	P1_E12_PI600723_R3
OTU_284	P1_F6_PI535892_R1
OTU_153	P1_E12_PI600723_R3
OTU_142	P1_H6_PI507903_R1
OTU_159	P1_E12_PI600723_R3
OTU_777	P1_F3_PI531366_R3
OTU_2175	P1_E4_PI650513_R1
OTU_489	P1_F6_PI535892_R1
OTU_135	P1_E12_PI600723_R3
OTU_171	P1_G8_PI650798_R3
OTU_390	P1_H6_PI507903_R1
OTU_378	P2_H9_PI531360_R3
OTU_261	P1_E12_PI600723_R3
OTU_1117	P2_H5_PI531341_R1
OTU_61	P1_E12_PI600723_R3
OTU_515	P1_E12_PI600723_R3
OTU_2514	P4_H2_PI650814_R4
OTU_1039	P4_G2_PI650525_R4
OTU_128	P1_G8_PI650798_R3
OTU_333	P1_G8_PI650798_R3
OTU_148	P1_H6_PI507903_R1
OTU_386	P1_E12_PI600723_R3
OTU_801	P1_F8_PI650349_R3
OTU_146	P1_E12_PI600723_R3
OTU_211	P1_H3_PI600718_R3
OTU_205	P1_A8_PI600807_R3
OTU_161	P1_E12_PI600723_R3
OTU_505	P1_F8_PI650349_R3
OTU_792	P1_F5_PI543006_R1
OTU_275	P1_E12_PI600723_R3
OTU_73	P1_E12_PI600723_R3
OTU_183	P1_G8_PI650798_R3
OTU_411	P1_H8_HA441_R3
OTU_493	P1_E12_PI600723_R3
OTU_247	P1_E12_PI600723_R3
OTU_238	P1_H6_PI507903_R1
OTU_299	P1_E12_PI600723_R3
OTU_385	P1_H6_PI507903_R1
OTU_150	P1_F3_PI531366_R3
OTU_242	P1_E12_PI600723_R3
OTU_573	P1_H5_PI650807_R1
OTU_401	P1_E12_PI600723_R3
OTU_416	P1_G7_PI650515_R3
OTU_641	P1_F6_PI535892_R1
OTU_479	P1_H8_HA441_R3
OTU_107	P1_E12_PI600723_R3
OTU_1102	P1_F6_PI535892_R1
OTU_771	P1_G4_PI432519_R1
OTU_350	P1_H6_PI507903_R1
OTU_272	P1_H3_PI600718_R3
OTU_204	P1_E12_PI600723_R3
OTU_358	P1_H6_PI507903_R1
OTU_222	P1_G8_PI650798_R3
OTU_215	P1_F3_PI531366_R3
OTU_307	P1_H6_PI507903_R1
OTU_187	P1_E12_PI600723_R3
OTU_1408	P3_C6_PI650798_R2
OTU_457	P1_G7_PI650515_R3
OTU_273	P3_A3_PI650822_R4
OTU_685	P1_F4_HA441_R1
OTU_303	P1_A2_PI531378_R1
OTU_173	P1_E12_PI600723_R3
OTU_276	P1_H6_PI507903_R1
OTU_712	P1_F8_PI650349_R3
OTU_144	P1_E12_PI600723_R3
OTU_577	P1_F6_PI535892_R1
OTU_764	P1_A6_PI650803_R1
OTU_413	P1_E12_PI600723_R3
OTU_999	P1_G8_PI650798_R3
OTU_206	P1_E12_PI600723_R3
OTU_274	P3_G6_PI511760_R2
OTU_758	P1_H4_PI650515_R1
OTU_165	P1_H6_PI507903_R1
OTU_293	P1_E12_PI600723_R3
OTU_957	P1_E7_PI526257_R3
OTU_309	P1_E12_PI600723_R3
OTU_631	P1_A2_PI531378_R1
OTU_440	P3_H6_PI650386_R2
OTU_971	P1_H6_PI507903_R1
OTU_455	P1_A9_PI600725_R3
OTU_1164	P1_H8_HA441_R3
OTU_282	P3_B4_PI536628_R4
OTU_223	P1_H6_PI507903_R1
OTU_1123	P1_H6_PI507903_R1
OTU_488	P1_E12_PI600723_R3
OTU_1275	P1_A5_PI650490_R1
OTU_572	P1_E12_PI600723_R3
OTU_1041	P1_H1_PI650758_R1
OTU_269	P1_G8_PI650798_R3
OTU_295	P3_C6_PI650798_R2
OTU_658	P1_G7_PI650515_R3
OTU_1482	P1_G7_PI650515_R3
OTU_650	P1_E12_PI600723_R3
OTU_229	P1_H8_HA441_R3
OTU_122	P1_G7_PI650515_R3
OTU_110	P1_G8_PI650798_R3
OTU_103	P1_A2_PI531378_R1
OTU_618	P1_G7_PI650515_R3
OTU_889	P1_C3_PI650829_R1
OTU_265	P3_D11_PI507925_R3
OTU_391	P1_F6_PI535892_R1
OTU_660	P2_B7_PI650789_R1
