"newID"	"rich"	"shannon"	"PC1"	"PC2"	"OTU_35"	"OTU_143"	"OTU_155"	"OTU_14"	"OTU_34"	"OTU_23"	"OTU_13"	"OTU_226"	"OTU_27"	"OTU_347"	"OTU_2"	"OTU_4"	"OTU_10"	"OTU_12"	"OTU_45"	"OTU_97"	"OTU_1"	"OTU_3"	"OTU_38"	"OTU_18"	"OTU_26"	"OTU_152"	"OTU_5"	"OTU_156"	"OTU_8"	"OTU_11"	"OTU_21"	"OTU_56"	"OTU_76"	"OTU_60"	"OTU_92"	"OTU_118"	"OTU_9"	"OTU_302"	"OTU_30"	"OTU_51"	"OTU_25"	"OTU_20"	"OTU_64"	"OTU_47"	"OTU_15"	"OTU_82"	"OTU_43"	"OTU_121"	"OTU_115"	"OTU_17"	"OTU_81"	"OTU_99"	"OTU_19"	"OTU_65"	"OTU_80"	"OTU_39"	"OTU_95"	"OTU_189"	"OTU_63"	"OTU_59"	"OTU_77"	"OTU_131"	"OTU_93"	"OTU_87"	"OTU_134"	"OTU_109"	"OTU_225"	"OTU_31"	"OTU_58"	"OTU_66"	"OTU_62"	"OTU_88"	"OTU_185"	"OTU_129"	"OTU_291"	"OTU_158"	"OTU_69"	"OTU_79"	"OTU_44"	"OTU_117"	"OTU_474"	"OTU_193"	"OTU_112"	"OTU_311"	"OTU_250"	"OTU_287"	"OTU_154"	"OTU_96"	"OTU_145"	"OTU_139"	"OTU_126"	"OTU_101"	"OTU_57"	"OTU_78"	"OTU_266"	"OTU_188"	"OTU_132"	"OTU_125"	"OTU_111"	"OTU_167"	"OTU_441"	"OTU_49"	"OTU_98"	"OTU_54"	"OTU_149"	"OTU_70"	"OTU_48"	"OTU_166"	"OTU_280"	"OTU_201"	"OTU_271"	"OTU_147"	"OTU_71"	"OTU_74"	"OTU_138"	"OTU_182"	"OTU_297"	"OTU_255"	"OTU_231"	"OTU_163"	"OTU_212"	"OTU_162"	"OTU_241"	"OTU_224"	"OTU_75"	"OTU_217"	"OTU_91"	"OTU_90"	"OTU_124"	"OTU_68"	"OTU_184"	"OTU_237"	"OTU_168"	"OTU_180"	"OTU_196"	"OTU_85"	"OTU_151"	"OTU_102"	"OTU_120"	"OTU_130"	"OTU_209"	"OTU_86"	"OTU_197"	"OTU_141"	"OTU_83"	"OTU_248"	"OTU_202"	"OTU_199"	"OTU_239"	"OTU_172"	"OTU_313"	"OTU_305"	"OTU_207"	"OTU_89"	"OTU_249"	"OTU_279"	"OTU_157"	"OTU_284"	"OTU_153"	"OTU_135"	"OTU_171"	"OTU_261"	"OTU_61"	"OTU_128"	"OTU_148"	"OTU_146"	"OTU_211"	"OTU_161"	"OTU_275"	"OTU_73"	"OTU_183"	"OTU_247"	"OTU_238"	"OTU_150"	"OTU_242"	"OTU_641"	"OTU_107"	"OTU_350"	"OTU_272"	"OTU_204"	"OTU_222"	"OTU_307"	"OTU_173"	"OTU_276"	"OTU_144"	"OTU_413"	"OTU_206"	"OTU_165"	"OTU_309"	"OTU_223"	"OTU_229"	"OTU_122"	"OTU_110"	"OTU_298"	"OTU_336"	"OTU_214"	"OTU_519"	"OTU_343"	"OTU_329"	"OTU_267"	"OTU_137"	"OTU_219"	"OTU_243"	"OTU_363"	"OTU_289"	"OTU_259"	"OTU_451"	"OTU_360"	"OTU_200"	"OTU_186"	"OTU_213"	"OTU_288"	"OTU_285"	"OTU_203"	"OTU_397"	"OTU_260"	"OTU_340"	"OTU_263"	"OTU_359"	"OTU_254"	"OTU_262"	"OTU_499"	"OTU_464"	"OTU_335"	"OTU_326"	"OTU_318"
"HA412HO_R1"	225	3.85737361395654	-0.250523727167628	-0.0395028904811675	0	16	2	84	64	36	35	1	198	0	33	10	24	172	1	0	437	726	27	193	63	0	0	0	289	205	32	0	0	3	0	0	143	1	25	30	2	92	6	5	58	15	1	1	0	31	2	9	25	19	0	0	0	0	2	9	62	0	1	7	4	0	5	109	39	13	1	3	0	0	0	2	7	2	67	5	0	16	1	1	6	0	0	0	9	8	2	16	3	6	5	0	16	1	0	21	3	9	12	22	0	0	46	5	4	5	0	0	11	21	2	3	0	0	0	0	0	0	0	10	38	4	12	26	0	1	0	0	2	0	0	3	0	1	1	5	2	2	0	0	3	3	9	0	2	0	0	0	0	42	1	0	1	0	0	1	0	0	25	1	1	6	0	7	0	1	0	3	0	0	0	0	11	0	0	0	3	0	1	0	0	0	1	0	0	0	1	0	11	0	0	1	0	0	0	0	0	0	1	1	2	3	0	0	2	8	0	0	7	0	0	0	2	0	0	0	0	0	0	0	0	0
"HA412HO_R2"	212	3.80025100263239	-0.253829201825355	-0.0270391094699674	4	9	0	55	54	60	64	1	118	0	31	7	17	258	0	2	411	942	27	219	74	0	3	0	254	63	18	3	2	5	0	4	68	2	21	19	28	38	10	0	63	35	1	0	0	31	0	1	46	90	1	0	0	0	0	2	84	0	3	12	6	0	2	118	15	45	2	12	0	1	1	0	13	5	60	12	0	32	12	0	2	0	31	0	8	9	17	1	2	0	3	0	0	0	0	1	0	24	7	14	1	3	34	6	0	1	0	0	3	12	0	2	0	0	0	0	0	20	1	7	6	1	4	51	0	7	0	0	1	0	0	2	2	4	0	12	0	2	0	0	2	0	10	0	0	10	0	0	2	27	0	2	6	0	1	0	0	0	20	1	0	13	0	17	1	3	0	2	0	0	6	0	1	0	0	1	0	0	6	0	0	0	0	0	0	0	0	0	19	0	1	0	0	0	1	0	0	0	0	0	6	0	0	2	0	6	0	0	5	0	0	0	0	0	5	0	1	0	3	22	0	1
"HA412HO_R3"	198	3.30014914804518	-0.183869793720916	-0.0270717714148372	1	0	1	57	35	44	45	0	342	0	1080	29	29	82	6	9	623	458	18	120	47	1	4	0	138	99	44	4	1	4	0	1	91	0	17	17	7	62	3	11	13	6	2	4	0	36	0	0	95	19	5	4	0	0	1	2	10	0	2	2	4	1	0	51	67	3	0	2	0	0	1	0	6	18	20	0	0	0	6	1	1	0	0	0	6	0	0	0	12	2	1	2	4	0	2	0	1	15	12	6	1	0	19	4	1	1	0	0	4	9	8	5	0	0	0	0	1	1	1	2	1	2	5	3	2	7	6	0	2	2	0	6	0	0	1	3	1	0	0	3	1	0	3	0	1	0	1	0	1	6	0	3	2	1	0	15	0	0	11	0	0	2	0	4	0	1	4	1	0	0	2	0	2	0	0	0	0	0	1	0	0	0	0	2	0	6	1	0	8	0	0	1	0	0	0	0	5	0	1	0	0	0	0	2	8	6	0	0	0	0	0	1	2	0	0	0	0	0	1	0	0	0
"HA412HO_R4"	221	3.43423103265995	-0.151042822117898	0.0130785163585345	9	2	0	47	36	27	37	7	95	0	444	31	41	198	12	2	703	669	15	61	60	12	2	0	260	59	24	6	1	4	0	1	24	0	21	15	34	19	8	4	29	6	3	3	0	19	2	1	83	24	4	7	2	0	2	4	6	0	0	2	9	2	0	26	1	11	5	7	0	4	0	0	11	19	10	9	0	2	5	1	2	3	3	0	2	4	12	15	4	5	0	3	2	0	1	1	0	14	8	9	4	4	8	0	0	1	0	0	12	3	1	3	1	1	0	2	0	18	2	2	10	3	7	9	1	6	0	1	2	0	0	5	1	0	1	0	0	0	0	0	3	0	2	0	2	7	0	3	1	2	0	5	0	1	0	0	2	0	10	0	0	1	0	4	1	1	1	0	3	1	0	0	2	1	0	14	0	1	1	1	8	0	1	3	0	0	0	3	8	2	0	0	0	0	0	1	3	0	0	0	0	0	0	0	2	0	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	1
"HA441_R1"	210	3.81956962483937	0.173221199478462	-0.0398812871435525	54	0	8	149	1	55	147	1	29	1	125	290	186	33	97	4	580	14	55	77	19	0	442	0	17	3	232	17	121	26	0	0	136	0	83	0	211	10	18	0	159	0	84	1	24	71	15	3	0	0	2	39	9	0	14	69	0	2	3	5	0	7	0	43	11	18	0	12	4	3	0	5	19	12	0	1	0	0	0	1	0	2	0	16	0	4	1	0	23	1	0	0	2	0	1	0	0	8	9	4	4	24	24	2	0	2	2	6	20	20	0	0	1	0	2	3	1	0	2	0	5	0	13	2	2	10	0	2	0	1	1	9	12	6	12	1	1	12	1	0	14	2	1	0	2	0	0	0	2	0	2	0	0	0	4	1	2	1	9	13	1	1	4	0	0	10	1	1	6	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	5	0	5	0	1	2	1	0	0	1	0	0	0	0	1	3	0	0	0	3	1	5	7	18	1	0	7	0	1	0	1	2	0	2	0
"HA441_R2"	183	3.54752850300377	0.177300444013998	-0.0664057887439538	92	0	3	227	1	61	208	6	11	14	48	343	84	90	34	1	436	0	31	127	22	1	978	0	12	1	21	6	6	18	0	0	278	0	74	8	4	51	17	0	44	1	41	2	0	209	15	8	0	0	3	40	14	0	6	56	0	2	5	18	2	4	0	36	10	6	4	4	0	2	0	0	6	25	1	0	8	0	1	0	0	0	0	10	0	22	1	0	5	2	0	1	0	0	2	0	0	6	10	3	3	19	26	1	5	0	2	0	15	7	0	0	10	0	2	10	0	0	0	0	5	1	1	1	1	14	0	0	0	2	0	3	3	9	2	1	0	0	4	0	1	2	0	0	0	0	0	0	1	0	1	0	0	0	4	0	0	0	56	0	0	1	8	0	0	7	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	3	0	19	0	1	0	0	1	0	1	17	0	1	0	0	8	0	0	0	0	4	0	0	0	0	0	0	0	1	12	0	0	0	0	3	0	3	0	1	0	0
"HA441_R3"	224	3.65533240660951	-0.231238874507348	0.00294795939997304	0	0	1	191	56	56	35	0	34	2	716	7	28	73	0	1	448	562	4	60	69	0	7	0	166	245	11	5	0	3	0	7	101	4	34	32	24	161	6	60	32	5	0	4	0	10	1	13	96	28	0	0	0	0	1	4	7	0	14	0	14	0	0	27	20	13	11	0	0	0	3	0	15	6	73	44	5	4	1	0	3	0	2	0	3	0	42	1	1	26	1	2	2	0	4	0	0	9	4	68	0	3	32	0	14	3	0	0	4	9	6	0	0	0	0	0	1	0	1	3	8	2	14	3	1	1	1	0	1	1	0	2	0	0	0	7	2	3	0	1	0	1	0	0	0	0	2	0	0	13	0	0	0	0	2	3	0	1	16	0	1	4	0	2	0	2	1	4	0	0	1	0	1	1	0	9	2	0	4	0	1	0	0	0	0	0	1	0	2	1	0	0	0	0	1	1	0	0	0	1	1	0	1	2	4	6	0	0	6	3	0	0	0	0	0	0	0	0	0	0	0	0
"HA441_R4"	223	3.38321322434086	-0.155395377020937	0.0234269021274202	12	0	1	134	64	29	27	3	5	0	727	35	66	159	6	1	566	881	18	68	39	0	14	0	206	273	47	9	1	6	11	11	101	1	34	15	13	18	6	36	33	1	3	2	0	12	0	8	145	9	4	2	1	0	1	2	3	1	7	1	5	2	5	37	9	7	1	6	1	1	0	4	11	18	36	1	0	0	8	0	1	1	5	0	0	2	3	6	6	8	2	5	0	0	3	0	0	20	7	25	0	1	25	7	0	3	0	0	6	3	3	4	0	0	0	0	0	0	0	1	4	2	6	1	0	7	0	0	1	1	8	2	0	3	2	2	0	2	0	5	8	2	0	0	0	0	4	2	2	4	0	1	5	2	5	2	1	1	6	0	0	1	0	1	0	3	2	0	1	0	2	0	4	3	0	0	0	1	1	3	3	2	0	1	0	1	4	0	1	0	0	0	0	0	1	9	2	0	4	0	2	0	0	2	0	3	1	0	0	1	0	0	0	1	0	0	1	0	3	0	1	2
"HA466_R1"	229	3.90911710516709	0.0501937411741436	0.00692884080234447	25	0	0	196	44	81	140	5	191	0	60	340	641	128	21	3	330	24	62	61	41	0	155	0	151	161	45	10	13	42	0	1	127	2	57	12	78	47	4	22	156	4	25	9	1	128	3	3	0	1	0	24	2	4	4	17	4	11	1	4	0	7	0	50	50	25	2	7	3	8	0	4	8	27	14	2	0	0	3	4	0	1	1	4	0	6	2	13	10	2	0	1	0	0	2	0	1	10	4	5	3	34	15	3	0	0	1	0	9	4	0	1	0	0	0	0	0	0	1	0	5	3	13	6	0	13	0	0	0	2	0	7	1	0	2	1	0	5	1	0	14	7	1	0	0	0	0	1	1	6	0	0	1	0	1	3	2	0	9	10	1	2	1	0	1	6	1	1	1	0	0	1	4	2	1	0	0	0	0	0	4	0	1	10	0	2	0	30	0	0	0	0	2	0	0	0	11	2	1	1	1	1	1	0	3	2	0	1	1	1	0	0	0	3	0	1	1	1	0	0	0	0
"HA466_R2"	205	3.85675189589464	0.0641909663665807	0.007033363893229	21	4	1	110	89	95	129	19	48	1	147	253	66	132	19	0	369	0	77	137	25	0	261	0	775	69	19	14	13	28	0	2	111	0	59	9	5	112	3	34	97	3	53	28	0	53	4	6	1	0	1	21	5	1	4	29	0	3	5	2	82	8	0	23	13	14	2	8	7	49	1	6	19	31	11	3	2	0	3	0	0	2	0	0	0	0	1	53	20	0	0	0	22	0	1	0	0	8	8	0	4	16	49	0	0	4	1	1	3	14	0	0	0	0	0	6	0	0	0	0	29	12	5	6	0	8	0	0	5	5	0	5	0	5	0	8	4	10	11	1	4	0	0	0	1	0	0	0	0	6	0	0	0	0	1	1	5	0	13	11	0	0	0	0	1	0	0	0	2	0	0	1	4	3	1	0	0	1	4	1	4	0	2	6	0	4	0	9	0	1	0	0	0	0	0	0	0	8	1	0	2	0	0	0	0	0	0	0	1	2	1	1	0	0	0	2	0	6	4	0	2	2
