# Groups associated with records, within table '/Users/cliftonbdemesquita/Documents/GitHub/SunflowerG/data/otu_table_16S.txt'
# Based on groups table '/Users/cliftonbdemesquita/Desktop/FAPROTAX_1.2.9/FAPROTAX.txt'
# Generated on: 2026.01.07 18:10:38
# Used command:
#   /Users/cliftonbdemesquita/Desktop/FAPROTAX_1.2.9/collapse_table.py -i /Users/cliftonbdemesquita/Documents/GitHub/SunflowerG/data/otu_table_16S.txt -o /Users/cliftonbdemesquita/Documents/GitHub/SunflowerG/data/func_table.tsv -g /Users/cliftonbdemesquita/Desktop/FAPROTAX_1.2.9/FAPROTAX.txt -d taxonomy -c '#' -v --out_groups2records_table /Users/cliftonbdemesquita/Documents/GitHub/SunflowerG/data/otu_faprotax_output.txt --out_groups2records_table_dense /Users/cliftonbdemesquita/Documents/GitHub/SunflowerG/data/otu_faprotax_output_long.txt
#
# Summary:
#   Loaded 92 groups comprising 8355 members (5060 unique members)
#   Established 6905 assignments of records to groups
#   15660 out of 19274 records could not be assigned to any group (leftovers)
#   Number of groups represented: 44
#
record	group
"Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,NA,OTU_244"	chemoheterotrophy
"Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Rhodoplanes,OTU_440"	nitrate_denitrification,nitrite_denitrification,denitrification,nitrite_respiration,aerobic_chemoheterotrophy,nitrate_respiration,nitrate_reduction,nitrogen_respiration,anoxygenic_photoautotrophy_S_oxidizing,anoxygenic_photoautotrophy,photoautotrophy,photoheterotrophy,phototrophy,chemoheterotrophy
"Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Pseudorhodoplanes,OTU_3275"	
"Bacteria,Bacteroidota,Kapabacteria,Kapabacteriales,NA,NA,OTU_4167"	
"Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,NA,NA,OTU_5474"	
"Bacteria,Chloroflexi,KD4-96,NA,NA,NA,OTU_735"	
"Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,Gemmata,OTU_659"	
"Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,ADurb.Bin063-1,OTU_1341"	
"Bacteria,Acidobacteriota,Acidobacteriae,Bryobacterales,Bryobacteraceae,Bryobacter,OTU_172"	aerobic_chemoheterotrophy,chemoheterotrophy
"Bacteria,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,NA,OTU_857"	
