"GeneIDs","count"
"NoGenes",403
"Ha412HOChr02g0059991,[LOW_BITSCORE]_ankyrin_repeat_family_protein,[LOW_BITSCORE]_reverse_transcriptase_family_protein,thylakoid_processing_peptide,AAA-type_ATPase_family_protein",10
"GDSL-like_Lipase/Acylhydrolase_superfamily_protein",8
"RHOMBOID-like_2",8
"RING/U-box_superfamily_protein",8
"ARM_repeat_superfamily_protein",7
"zinc_finger_protein_1,BED_zinc_finger_and_hAT_dimerization_domain-containing_protein_DAYSLEEPER,BED_zinc_finger_and_hAT_dimerization_domain-containing_protein_DAYSLEEPER,[LOW_BITSCORE]_protein_kinase_family_protein_/_peptidoglycan-binding_LysM_domain-containing_protein",7
"Bifunctional_inhibitor/lipid-transfer_protein/seed_storage_2S_albumin_superfamily_protein,[LOW_BITSCORE]_GTP_binding_protein",6
"HSP20-like_chaperones_superfamily_protein",6
"Heavy_metal_transport/detoxification_superfamily_protein",6
"S-locus_lectin_protein_kinase_family_protein,S-locus_lectin_protein_kinase_family_protein,[LOW_BITSCORE]_Tetratricopeptide_repeat_(TPR)-like_superfamily_protein,Saccharopine_dehydrogenase,Ha412HOChr17g0822911,DUF1336_family_protein_(DUF1336),transmembrane_protein_(DUF872)",6
"[LOW_BITSCORE]_Transcriptional_factor_B3_family_protein",6
"subtilase_family_protein,Pentatricopeptide_repeat_(PPR)_superfamily_protein,diacylglycerol_acyltransferase_family",6
"uncharacterized_protein_AT3G52710,Thioredoxin_family_protein,Protein_kinase_superfamily_protein,Protein_kinase_superfamily_protein",6
"E3_ubiquitin-protein_ligase,[LOW_BITSCORE]_FAD-binding_Berberine_family_protein",5
"HXXXD-type_acyl-transferase_family_protein,ribosomal_protein_S11_(chloroplast)",5
"Ha412HOChr11g0494661",5
"Pentatricopeptide_repeat_(PPR)_superfamily_protein",5
"Ribosomal_protein_L7Ae/L30e/S12e/Gadd45_family_protein,basic_pentacysteine_6",5
"SAUR-like_auxin-responsive_protein_family",5
"ammonium_transporter_1;1,[LOW_BITSCORE]_histone-lysine_N-methyltransferase,_H3_lysine-9_specific_SUVH4-like_protein",5
"arginine_N-methyltransferase,_putative_(DUF688),2-aminoethanethiol_dioxygenase,_putative_(DUF1637),FtsH_extracellular_protease_family,RING/U-box_superfamily_protein",5
"cysteine-rich_RLK_(RECEPTOR-like_protein_kinase)_11,[LOW_BITSCORE]_disease_resistance_protein_(TIR-NBS-LRR_class),[LOW_BITSCORE]_Single-stranded_nucleic_acid_binding_R3H_protein,[LOW_BITSCORE]_kinesin-like_protein_1",5
"transcription_factor-like_protein",5
"ARP2/3_complex_16_kDa_subunit_(p16-Arc),Integrase-type_DNA-binding_superfamily_protein,histone_mono-ubiquitination_1",4
"BED_zinc_finger_and_hAT_dimerization_domain-containing_protein_DAYSLEEPER,[LOW_BITSCORE]_AP2/B3-like_transcriptional_factor_family_protein",4
"Calcium-dependent_lipid-binding_(CaLB_domain)_family_protein,Regulatory-associated_protein_of_TOR_1",4
"Cytochrome_P450_superfamily_protein",4
"Cytochrome_c_oxidase,_subunit_Vib_family_protein,Histone_superfamily_protein,17.6_kDa_class_II_heat_shock_protein,dessication-induced_1VOC_superfamily_protein",4
"Fatty_acid_hydroxylase_superfamily,transcriptional_regulator_of_RNA_polII,_SAGA,_subunit,elongation_factor",4
"HXXXD-type_acyl-transferase_family_protein",4
"Ha412HOChr01g0021741,[LOW_BITSCORE]_HSI2-like_1",4
"Ha412HOChr17g0834591",4
"Nucleotide-diphospho-sugar_transferases_superfamily_protein",4
"P-loop_containing_nucleoside_triphosphate_hydrolases_superfamily_protein,beta-carotene_isomerase_D27,SET_domain-containing_protein,Calcium-dependent_phosphotriesterase_superfamily_protein,Prolyl_oligopeptidase_family_protein",4
"Proteasome_component_(PCI)_domain_protein,Ha412HOChr17g0844961,P-loop_containing_nucleoside_triphosphate_hydrolases_superfamily_protein",4
"Ribosomal_protein_S10p/S20e_family_protein,[LOW_BITSCORE]_C2_calcium/lipid-binding_plant_phosphoribosyltransferase_family_protein",4
"Tetratricopeptide_repeat_(TPR)-like_superfamily_protein",4
"Wall-associated_kinase_family_protein,wall_associated_kinase-like_2,Wall-associated_kinase_family_protein,wall_associated_kinase-like_2",4
"Xanthine/uracil_permease_family_protein,D-ribose-binding_periplasmic_protein,[LOW_BITSCORE]_RNA-binding_protein-defense_related_1",4
"[LOW_BITSCORE]_Tetratricopeptide_repeat_(TPR)-like_superfamily_protein,Glycosyl_hydrolases_family_31_protein,[LOW_BITSCORE]_uncharacterized_protein_AT1G62690,Galactose_oxidase/kelch_repeat_superfamily_protein,[LOW_BITSCORE]_ATPase,_AAA-type,_CDC48_protein,Glycosyl_hydrolase_superfamily_protein",4
"[LOW_BITSCORE]_VASCULAR-RELATED_NAC-DOMAIN_6,S-adenosyl-L-methionine-dependent_methyltransferases_superfamily_protein,[LOW_BITSCORE]_mechanosensitive_channel_of_small_conductance-like_6,[LOW_BITSCORE]_GDSL-motif_lipase_7,uncharacterized_protein_AT3G11810,Small_nuclear_ribonucleoprotein_family_protein,uncharacterized_protein_AT3G11810",4
"beta-ureidopropionase,H[+]-ATPase_9",4
"cytochrome_P450,_family_76,_subfamily_C,_polypeptide_4",4
"filament-like_protein_(DUF869),SET_domain-containing_protein,PLC-like_phosphodiesterases_superfamily_protein,Polynucleotide_adenylyltransferase_family_protein,uncharacterized_protein_AT5G47580,F-box/RNI-like_superfamily_protein,basic_helix-loop-helix_(bHLH)_DNA-binding_superfamily_protein,PLC-like_phosphodiesterases_superfamily_protein",4
"gamma_subunit_of_Mt_ATP_synthase",4
"indigoidine_synthase_A_family_protein,scarecrow-like_3,ubiquitin-conjugating_enzyme19,ubiquitin-conjugating_enzyme19,H[+]-ATPase_9,uncharacterized_protein_AT2G01870",4
"phytochrome-associated_protein_1",4
"tonoplast_monosaccharide_transporter2,arginine-glutamic_acid_dipeptide_repeat_protein",4
"transcription_factor-like_protein,transcription_factor-like_protein,Ha412HOChr01g0031271",4
"translocase_subunit_seca",4
"2-oxoglutarate_(2OG)_and_Fe(II)-dependent_oxygenase_superfamily_protein,[LOW_BITSCORE]_cytochrome_p450_79f1",3
"Adaptin_family_protein,Ha412HOChr13g0617571,[LOW_BITSCORE]_Aldolase-type_TIM_barrel_family_protein,[LOW_BITSCORE]_receptor-like_kinase_in_flowers_1",3
"CCCH-type_zinc_finger_protein_with_ARM_repeat_domain-containing_protein",3
"Calcium-binding_EF-hand_family_protein,UNC-50_family_protein,UNC-50_family_protein",3
"Caleosin-related_family_protein,mediator_of_RNA_polymerase_II_transcription_subunit,O-Glycosyl_hydrolases_family_17_protein,[LOW_BITSCORE]_double-stranded_RNA_binding_protein-related_/_DsRBD_protein-like_protein,RNI-like_superfamily_protein,RNI-like_superfamily_protein",3
"DA1,galacturonosyltransferase-like_2",3
"FAD/NAD(P)-binding_oxidoreductase_family_protein",3
"Flavin-binding_monooxygenase_family_protein,[LOW_BITSCORE]_3-oxo-5-alpha-steroid_4-dehydrogenase_family_protein,F-box_and_associated_interaction_domains-containing_protein",3
"Galactose_oxidase/kelch_repeat_superfamily_protein,Protein_kinase_superfamily_protein,[LOW_BITSCORE]_Winged_helix-turn-helix_transcription_repressor_DNA-binding_protein,[LOW_BITSCORE]_F-box/RNI-like_superfamily_protein",3
"HSP20-like_chaperones_superfamily_protein,replicase_polyprotein_1ab_protein,scramblase-like_protein",3
"Ha412HOChr01g0031271,filament-like_protein_(DUF869),arginine/glutamate-rich_1_protein,[LOW_BITSCORE]_hypothetical_protein_(DUF241),Disease_resistance_protein_(TIR-NBS-LRR_class)_family",3
"Ha412HOChr02g0065901,RING/FYVE/PHD_zinc_finger_superfamily_protein,Exostosin_family_protein",3
"Ha412HOChr04g0188041,MEI2_C-terminal_RRM_only_like_1",3
"Ha412HOChr14g0668411",3
"K-box_region_and_MADS-box_transcription_factor_family_protein,Chaperone_DnaJ-domain_superfamily_protein",3
"Leucine-rich_receptor-like_protein_kinase_family_protein,uncharacterized_protein_AT5G67020,[LOW_BITSCORE]_SAP_domain-containing_protein",3
"Myb/SANT-like_DNA-binding_domain_protein,Remorin_family_protein",3
"Nucleotide-diphospho-sugar_transferases_superfamily_protein,Nucleotide-diphospho-sugar_transferases_superfamily_protein",3
"Protein_kinase_superfamily_protein,DNAJ_heat_shock_N-terminal_domain-containing_protein,[LOW_BITSCORE]_Prolyl_oligopeptidase_family_protein",3
"Protein_kinase_superfamily_protein,cysteine-rich_RLK_(RECEPTOR-like_protein_kinase)_10,cysteine-rich_RLK_(RECEPTOR-like_protein_kinase)_29,cysteine-rich_RECEPTOR-like_kinase,cysteine-rich_RLK_(RECEPTOR-like_protein_kinase)_10,Ha412HOChr16g0787751,[LOW_BITSCORE]_RNA-binding_(RRM/RBD/RNP_motifs)_family_protein_with_retrovirus_zinc_finger-like_domain-containing_protein,disease_resistance_protein_(TIR-NBS-LRR_class),[LOW_BITSCORE]_cellulose_synthase-like_A10",3
"RB1-inducible_coiled-coil_protein,WUSCHEL_related_homeobox_13,PHD_finger-like_protein,PHD_finger-like_protein,inositol_requiring_1-1,Auxin_efflux_carrier_family_protein",3
"RING/U-box_superfamily_protein,kinase_with_adenine_nucleotide_alpha_hydrolases-like_domain-containing_protein,[LOW_BITSCORE]_Cysteine_proteinases_superfamily_protein,Protein_kinase_superfamily_protein",3
"Ribosomal_protein_L36,Phosphoribosyltransferase_family_protein,[LOW_BITSCORE]_glutathione_S-transferase_tau_27,cellulose_synthase_1",3
"SPIRAL1-like1",3
"UDP-glucosyltransferase_74F2",3
"[LOW_BITSCORE]_1-aminocyclopropane-1-carboxylate_synthase_4",3
"[LOW_BITSCORE]_loricrin-like_protein",3
"[LOW_BITSCORE]_syringolide-induced_protein,PHD_finger_family_protein_/_SWIB_complex_BAF60b_domain-containing_protein_/_GYF_domain-containing_protein,[LOW_BITSCORE]_Amino_acid_permease_family_protein",3
"[LOW_BITSCORE]_transporter_associated_with_antigen_processing_protein_1,Ha412HOChr03g0097961,[LOW_BITSCORE]_Malectin/receptor-like_protein_kinase_family_protein,[LOW_BITSCORE]_tRNAse_Z1,Disease_resistance_protein_(TIR-NBS-LRR_class)_family,stress_induced_protein,eukaryotic_translation_initiation_factor_3G1,[LOW_BITSCORE]_RNA-binding_(RRM/RBD/RNP_motifs)_family_protein,Cyclophilin-like_peptidyl-prolyl_cis-trans_isomerase_family_protein,IQ-domain_19",3
"[LOW_BITSCORE]_uncharacterized_protein_AT5G50710",3
"ankyrin_repeat-containing_2B,ankyrin_repeat-containing_2B",3
"chlorophyll_A/B_binding_protein_1,Leucine-rich_repeat_protein_kinase_family_protein,Leucine-rich_repeat_protein_kinase_family_protein,receptor-like_protein_kinase_1",3
"disease_resistance_protein_(TIR-NBS-LRR_class),[LOW_BITSCORE]_transducin_family_protein_/_WD-40_repeat_family_protein,Disease_resistance_protein_(TIR-NBS-LRR_class)_family",3
"phosphate_transporter_4;1",3
"tubulin_beta_chain_3,glutathione_peroxidase_8,bromo-adjacent_homology_(BAH)_domain-containing_protein,Ha412HOChr02g0077281,Mitochondrial_substrate_carrier_family_protein,[LOW_BITSCORE]_CW-type_Zinc_Finger",3
"uncharacterized_protein_AT1G07985,nuclear_factor_Y,_subunit_A1,Ha412HOChr17g0848211,carotenoid_cleavage_dioxygenase_1,PHD_finger_family_protein,[LOW_BITSCORE]_Rrp15p_protein,ferredoxin/thioredoxin_reductase_subunit_A_(variable_subunit)_2,ferredoxin/thioredoxin_reductase_subunit_A_(variable_subunit)_1",3
"2-oxoglutarate_(2OG)_and_Fe(II)-dependent_oxygenase_superfamily_protein,2-oxoglutarate_(2OG)_and_Fe(II)-dependent_oxygenase_superfamily_protein,indoleacetic_acid-induced_protein_16,[LOW_BITSCORE]_BES1/BZR1_homolog_2,indole-3-acetic_acid_inducible_19,tetratricopeptide_repeat_(TPR)-containing_protein",2
"20S_proteasome_beta_subunit_PBB2,cytochrome_P450,_family_86,_subfamily_C,_polypeptide_1,cytochrome_P450,_family_86,_subfamily_C,_polypeptide_1,basic_helix-loop-helix_(bHLH)_DNA-binding_superfamily_protein",2
"AAA-type_ATPase_family_protein_/_ankyrin_repeat_family_protein,[LOW_BITSCORE]_expansin_A24",2
"ARM_repeat_superfamily_protein,[LOW_BITSCORE]_poly(A)-binding_protein_5,EIN3-binding_F_box_protein_2",2
