"ASV","count","ASV_ID","taxonomy1","taxonomy2","taxonomy3","taxonomy4","taxonomy5","taxonomy6","taxonomy7"
"OTU_1377_16S",172,"OTU_1377","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","NA","NA"
"OTU_393_16S",90,"OTU_393","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","viridiflava"
"OTU_1389_16S",78,"OTU_1389","Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira","defluvii"
"OTU_1239_16S",58,"OTU_1239","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Phenylobacterium","NA"
"OTU_275_16S",51,"OTU_275","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","NA"
"OTU_1308_16S",50,"OTU_1308","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Puia","NA"
"OTU_1265_16S",44,"OTU_1265","Bacteria","Acidobacteriota","Acidobacteriae","Bryobacterales","Bryobacteraceae","Bryobacter","NA"
"OTU_823_16S",43,"OTU_823","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Edaphobaculum","NA"
"OTU_2043_16S",42,"OTU_2043","Bacteria","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","NA"
"OTU_1330_16S",37,"OTU_1330","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Opitutales","Opitutaceae","Opitutus","NA"
"OTU_890_16S",37,"OTU_890","Bacteria","Chloroflexi","TK10","NA","NA","NA","NA"
"OTU_1680_16S",32,"OTU_1680","Bacteria","Gemmatimonadota","BD2-11 terrestrial group","NA","NA","NA","NA"
"OTU_332_16S",28,"OTU_332","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Rhodoplanes","NA"
"OTU_1369_16S",26,"OTU_1369","Bacteria","Acidobacteriota","Thermoanaerobaculia","Thermoanaerobaculales","Thermoanaerobaculaceae","Subgroup 10","NA"
"OTU_1460_16S",25,"OTU_1460","Bacteria","Acidobacteriota","Blastocatellia","Pyrinomonadales","Pyrinomonadaceae","RB41","NA"
"OTU_1752_16S",20,"OTU_1752","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Chitinophaga","ginsengihumi"
"OTU_1493_16S",19,"OTU_1493","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Niastella","koreensis"
"OTU_255_16S",19,"OTU_255","Archaea","Crenarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae","NA","NA"
"OTU_454_16S",19,"OTU_454","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Taibaiella","NA"
"OTU_1255_16S",16,"OTU_1255","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Methylophilaceae","UBA6140","NA"
"OTU_1753_16S",16,"OTU_1753","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","NA","NA","NA"
"OTU_242_16S",16,"OTU_242","Archaea","Crenarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae","Candidatus Nitrocosmicus","NA"
"OTU_1162_16S",15,"OTU_1162","Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Roseiflexaceae","NA","NA"
"OTU_1309_16S",15,"OTU_1309","Bacteria","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","NA"
"OTU_1245_16S",14,"OTU_1245","Archaea","Crenarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae","NA","NA"
"OTU_480_16S",14,"OTU_480","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Phenylobacterium","NA"
"OTU_1015_16S",13,"OTU_1015","Bacteria","Actinobacteriota","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella","NA"
"OTU_1382_16S",13,"OTU_1382","Bacteria","Chloroflexi","TK10","NA","NA","NA","NA"
"OTU_559_16S",13,"OTU_559","Bacteria","Acidobacteriota","Acidobacteriae","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","Terracidiphilus","NA"
"OTU_702_16S",13,"OTU_702","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Pseudolabrys","NA"
"OTU_2556_16S",12,"OTU_2556","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia","timonae"
"OTU_1483_16S",11,"OTU_1483","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","NA","NA"
"OTU_1525_16S",11,"OTU_1525","Bacteria","Actinobacteriota","NA","NA","NA","NA","NA"
"OTU_2072_16S",11,"OTU_2072","Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","67-14","NA","NA"
"OTU_270_16S",11,"OTU_270","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Chthoniobacter","NA"
"OTU_3125_16S",11,"OTU_3125","Bacteria","Actinobacteriota","Thermoleophilia","Gaiellales","NA","NA","NA"
"OTU_775_16S",11,"OTU_775","Bacteria","Actinobacteriota","Actinobacteria","Micromonosporales","Micromonosporaceae","NA","NA"
"OTU_18_16S",10,"OTU_18","Bacteria","Acidobacteriota","Blastocatellia","Pyrinomonadales","Pyrinomonadaceae","RB41","NA"
"OTU_734_16S",10,"OTU_734","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Candidatus Udaeobacter","NA"
"OTU_745_16S",10,"OTU_745","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","NA","NA"
"OTU_826_16S",10,"OTU_826","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Dyella","NA"
"OTU_872_16S",10,"OTU_872","Bacteria","Actinobacteriota","MB-A2-108","NA","NA","NA","NA"
"OTU_1574_16S",9,"OTU_1574","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","NA"
"OTU_1663_16S",9,"OTU_1663","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","NA","NA","NA"
"OTU_348_16S",9,"OTU_348","Bacteria","Acidobacteriota","Blastocatellia","Blastocatellales","Blastocatellaceae","NA","NA"
"OTU_385_16S",9,"OTU_385","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Flavisolibacter","NA"
"OTU_56_16S",9,"OTU_56","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia-Caballeronia-Paraburkholderia","NA"
"OTU_687_16S",9,"OTU_687","Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","Vicinamibacteraceae","NA","NA"
"OTU_1400_16S",8,"OTU_1400","Bacteria","Actinobacteriota","Rubrobacteria","Rubrobacterales","Rubrobacteriaceae","Rubrobacter","NA"
"OTU_1431_16S",8,"OTU_1431","Bacteria","Actinobacteriota","Thermoleophilia","Gaiellales","NA","NA","NA"
"OTU_1551_16S",8,"OTU_1551","Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae","NA","NA"
"OTU_1767_16S",8,"OTU_1767","Bacteria","Proteobacteria","Alphaproteobacteria","Azospirillales","Azospirillaceae","Skermanella","NA"
"OTU_1770_16S",8,"OTU_1770","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","NA","NA"
"OTU_261_16S",8,"OTU_261","Archaea","Crenarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae","NA","NA"
"OTU_445_16S",8,"OTU_445","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Microvirga","NA"
"OTU_597_16S",8,"OTU_597","Bacteria","Actinobacteriota","Actinobacteria","Frankiales","NA","NA","NA"
"OTU_1062_16S",7,"OTU_1062","Bacteria","Acidobacteriota","Acidobacteriae","Bryobacterales","Bryobacteraceae","Bryobacter","NA"
"OTU_1252_16S",7,"OTU_1252","Archaea","Crenarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae","NA","NA"
"OTU_1427_16S",7,"OTU_1427","Bacteria","Acidobacteriota","Blastocatellia","Pyrinomonadales","Pyrinomonadaceae","RB41","NA"
