"GeneIDs","count"
"NoGenes",5528
"Protein_kinase_superfamily_protein",61
"HXXXD-type_acyl-transferase_family_protein",57
"basic_helix-loop-helix_(bHLH)_DNA-binding_superfamily_protein",57
"alpha/beta-Hydrolases_superfamily_protein",53
"RING/U-box_superfamily_protein",51
"Integrase-type_DNA-binding_superfamily_protein",40
"GDSL-like_Lipase/Acylhydrolase_superfamily_protein",36
"2-oxoglutarate_(2OG)_and_Fe(II)-dependent_oxygenase_superfamily_protein",35
"NAD(P)-binding_Rossmann-fold_superfamily_protein",28
"[LOW_BITSCORE]_Tetratricopeptide_repeat_(TPR)-like_superfamily_protein",27
"terpene_synthase_14",27
"UDP-Glycosyltransferase_superfamily_protein",26
"Homeodomain-like_superfamily_protein",23
"Leucine-rich_repeat_transmembrane_protein_kinase",23
"splicing_regulatory_glutamine/lysine-rich-like_protein,integral_membrane_metal-binding_family_protein_(DUF2296)",22
"ARM_repeat_superfamily_protein",21
"alpha/beta-Hydrolases_superfamily_protein,alpha/beta-Hydrolases_superfamily_protein",21
"Glucose-methanol-choline_(GMC)_oxidoreductase_family_protein",20
"P-loop_containing_nucleoside_triphosphate_hydrolases_superfamily_protein",20
"fatty_acid_desaturase_8",20
"Auxin_efflux_carrier_family_protein",19
"Glycosyl_hydrolase_superfamily_protein",19
"acyl_activating_enzyme_1",19
"Tetratricopeptide_repeat_(TPR)-like_superfamily_protein",18
"cytosolic_NADP+-dependent_isocitrate_dehydrogenase",18
"Bifunctional_inhibitor/lipid-transfer_protein/seed_storage_2S_albumin_superfamily_protein,[LOW_BITSCORE]_GTP_binding_protein",17
"Ha412HOChr16g0769941",17
"Leucine-rich_repeat_protein_kinase_family_protein",17
"Photosystem_II_reaction_center_PsbP_family_protein,golgi_apparatus_membrane_protein-like_protein_ECHIDNA_protein,cytochrome_P450,_family_706,_subfamily_A,_polypeptide_6,cytochrome_P450,_family_706,_subfamily_A,_polypeptide_7,golgi_apparatus_membrane_protein-like_protein_ECHIDNA_protein",17
"Transducin/WD40_repeat-like_superfamily_protein",17
"transcription_factor-like_protein",17
"Basic_helix-loop-helix_(bHLH)_DNA-binding_family_protein",16
"C2H2-type_zinc_finger_family_protein",16
"PIF1_helicase,UDP-glucosyl_transferase_84B1,[LOW_BITSCORE]_DNA-binding_HORMA_family_protein,[LOW_BITSCORE]_mto_1_responding_down_1,[LOW_BITSCORE]_Disease_resistance_protein_(TIR-NBS-LRR_class)_family,UDP-glucosyl_transferase_84B1",16
"S-adenosyl-L-methionine-dependent_methyltransferases_superfamily_protein",16
"Vacuolar_iron_transporter_(VIT)_family_protein",16
"[LOW_BITSCORE]_cyclopropyl_isomerase,pol-like_5",16
"calmodulin-like_41,protein_kinase_family_protein_/_peptidoglycan-binding_LysM_domain-containing_protein",16
"phytochrome_A,DEAD_box_RNA_helicase_(RH3)",16
"DNA-directed_RNA_polymerase_family_protein,DNA-directed_RNA_polymerase_family_protein,Tetratricopeptide_repeat_(TPR)-like_superfamily_protein,Tetratricopeptide_repeat_(TPR)-like_superfamily_protein,Ha412HOChr15g0720781,Plasma-membrane_choline_transporter_family_protein",15
"Disease_resistance_protein_(TIR-NBS-LRR_class)_family",15
"F-box_and_associated_interaction_domains-containing_protein",15
"Leucine-rich_repeat_transmembrane_protein_kinase,Leucine-rich_repeat_transmembrane_protein_kinase",15
"MYB-like_102,ADP_glucose_pyrophosphorylase_large_subunit_1",15
"Oxidoreductase_family_protein,Oxidoreductase_family_protein",15
"nudix_hydrolase_homolog_17",15
"sugar_phosphate_exchanger,_putative_(DUF506)",15
"transcription_factor-like_protein,[LOW_BITSCORE]_O-fucosyltransferase_family_protein,tubby_like_protein_7",15
"Aldolase-type_TIM_barrel_family_protein",14
"Concanavalin_A-like_lectin_protein_kinase_family_protein",14
"Homeodomain-like_superfamily_protein,NAC_domain_containing_protein_28,NAC_domain_containing_protein_28,[LOW_BITSCORE]_P-loop_containing_nucleoside_triphosphate_hydrolases_superfamily_protein",14
"Pathogenesis-related_thaumatin_superfamily_protein",14
"Ribosomal_protein_S5_domain_2-like_superfamily_protein",14
"Zinc_finger_C-x8-C-x5-C-x3-H_type_family_protein,RING_1A,Eukaryotic_translation_initiation_factor_eIF2A_family_protein",14
"[LOW_BITSCORE]_Protein_kinase_superfamily_protein",14
"[LOW_BITSCORE]_beta_glucosidase_16,HXXXD-type_acyl-transferase_family_protein",14
"acyl_carrier_protein_2",14
"hercules_receptor_kinase_1,Ha412HOChr03g0131991,Malectin/receptor-like_protein_kinase_family_protein,Cysteine_proteinases_superfamily_protein,P-loop_containing_nucleoside_triphosphate_hydrolases_superfamily_protein,basic_region/leucine_zipper_transcription_factor_68,basic_region/leucine_zipper_transcription_factor_16,Transducin_family_protein_/_WD-40_repeat_family_protein,lectin_protein_kinase_family_protein",14
"Disease_resistance_protein_(TIR-NBS-LRR_class)_family,ovate_family_protein_8",13
"Homeodomain-like_transcriptional_regulator",13
"Polynucleotidyl_transferase,_ribonuclease_H_fold_protein_with_HRDC_domain-containing_protein,Leucine-rich_repeat_protein_kinase_family_protein,glycosyl_hydrolase_9A1",13
"[LOW_BITSCORE]_RNA-binding_(RRM/RBD/RNP_motifs)_family_protein",13
"antitermination_NusB_domain-containing_protein,peptide_transporter_1",13
"cold-regulated_413-plasma_membrane_2,cold-regulated_413-plasma_membrane_2",13
"condensin-2_complex_subunit_H2-like_protein,flavin-dependent_monooxygenase_1,high_mobility_group",13
"cytochrome_P450,_family_716,_subfamily_A,_polypeptide_1",13
"electron_transporter,_putative_(Protein_of_unknown_function,_DUF547),[LOW_BITSCORE]_SET_domain_group_37,[LOW_BITSCORE]_Myb/SANT-like_DNA-binding_domain_protein",13
"heparan-alpha-glucosaminide_N-acetyltransferase-like_protein_(DUF1624),[LOW_BITSCORE]_hAT_transposon_superfamily_protein",13
"kinase_family_with_ARM_repeat_domain-containing_protein,[LOW_BITSCORE]_Bromodomain_transcription_factor,kinase_family_with_ARM_repeat_domain-containing_protein,STAY-GREEN-like_protein,HSP40/DnaJ_peptide-binding_protein,aldehyde_dehydrogenase_3H1,Ha412HOChr05g0227271",13
"low-molecular-weight_cysteine-rich_69,Scorpion_toxin-like_knottin_superfamily_protein,[LOW_BITSCORE]_Integral_membrane_HRF1_family_protein,CCCH-type_zinc_finger_family_protein,[LOW_BITSCORE]_NADH_dehydrogenase_subunit_2_(chloroplast),tobamovirus_multiplication_protein_3",13
"netrin_receptor_DCC,phytochrome_A",13
"plant/protein",13
"ubiquitin-conjugating_enzyme_23,purple_acid_phosphatase_10,[LOW_BITSCORE]_C2_calcium/lipid-binding_and_GRAM_domain_containing_protein,vacuolar_proton_ATPase_A3,Ha412HOChr03g0115491",13
"ABC-2_type_transporter_family_protein",12
"Eukaryotic_aspartyl_protease_family_protein",12
"F-box/RNI-like_superfamily_protein",12
"Glutamate_receptor_family_protein",12
"Malectin/receptor-like_protein_kinase_family_protein,[LOW_BITSCORE]_Nucleotide-sugar_transporter_family_protein,Malectin/receptor-like_protein_kinase_family_protein,[LOW_BITSCORE]_polygalacturonase_inhibiting_protein_1",12
"NB-ARC_domain-containing_disease_resistance_protein,Rho_GTPase-activating_protein,endoribonuclease_L-PSP_family_protein,RING/U-box_superfamily_protein",12
"Protein_phosphatase_2C_family_protein",12
"Pseudouridine_synthase_family_protein,DNA_binding_protein",12
"RNA-directed_DNA_polymerase_(reverse_transcriptase)-related_family_protein",12
"SCAMP_family_protein,early-responsive_to_dehydration_stress_protein_(ERD4)",12
"Tetratricopeptide_repeat_(TPR)-like_superfamily_protein,transmembrane_protein,_putative_(DUF247),[LOW_BITSCORE]_Ribonuclease_H-like_superfamily_protein,[LOW_BITSCORE]_ABC-2_and_Plant_PDR_ABC-type_transporter_family_protein,Phosphatidylinositol-4-phosphate_5-kinase_family_protein,transmembrane_protein,_putative_(DUF247),transmembrane_protein,_putative_(DUF247),transmembrane_protein,_putative_(DUF247),transmembrane_protein,_putative_(DUF247)",12
"[LOW_BITSCORE]_Ribosomal_protein_S5/Elongation_factor_G/III/V_family_protein",12
"[LOW_BITSCORE]_zinc_finger_(Ran-binding)_family_protein",12
"arogenate_dehydratase_1",12
"cytochrome_P450,_family_82,_subfamily_C,_polypeptide_4",12
"glutamate_decarboxylase",12
"lipoxygenase_2,[LOW_BITSCORE]_Leucine-rich_repeat_transmembrane_protein_kinase_family_protein",12
"Cysteine_proteinases_superfamily_protein",11
"HAUS_augmin-like_complex_subunit,cyclic_nucleotide_gated_channel_5,O-Glycosyl_hydrolases_family_17_protein",11
