ASV,count,ASV_ID,taxonomy1,taxonomy2,taxonomy3,taxonomy4,taxonomy5,taxonomy6,taxonomy7
OTU_464_ITS,2572,OTU_464,Fungi,Ascomycota,Dothideomycetes,Venturiales,Sympoventuriaceae,Ochroconis,NA
OTU_62_ITS,2510,OTU_62,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Leptosphaeriaceae,Leptosphaeria,cichorium
OTU_259_ITS,1135,OTU_259,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,bletillae
OTU_135_ITS,996,OTU_135,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,NA
OTU_313_ITS,951,OTU_313,Fungi,Ascomycota,NA,NA,NA,NA,NA
OTU_132_ITS,784,OTU_132,Fungi,Ascomycota,Leotiomycetes,Helotiales,Calloriaceae,Calloriaceae_gen_Incertae_sedis,NA
OTU_92_ITS,757,OTU_92,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Stachybotryaceae,NA,NA
OTU_78_ITS,710,OTU_78,Fungi,Ascomycota,NA,NA,NA,NA,NA
OTU_231_ITS,563,OTU_231,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,calciphila
OTU_279_ITS,563,OTU_279,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Marquandomyces,marquandii
OTU_148_ITS,528,OTU_148,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Neosetophoma,italica
OTU_75_ITS,526,OTU_75,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Niessliaceae,Niesslia,mucida
OTU_189_ITS,516,OTU_189,Fungi,Basidiomycota,Tremellomycetes,Cystofilobasidiales,Mrakiaceae,Mrakia,robertii
OTU_143_ITS,504,OTU_143,Fungi,Chytridiomycota,Chytridiomycetes,Chytridiales,Chytriomycetaceae,Rhizoclosmatium,pessaminum
OTU_73_ITS,501,OTU_73,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Rhizopodaceae,Rhizopus,arrhizus
OTU_242_ITS,491,OTU_242,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Coprinellus,radians
OTU_167_ITS,465,OTU_167,Fungi,NA,NA,NA,NA,NA,NA
OTU_172_ITS,457,OTU_172,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Bolbitiaceae,Conocybe,apala
OTU_162_ITS,442,OTU_162,Fungi,NA,NA,NA,NA,NA,NA
OTU_147_ITS,441,OTU_147,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Amaurodon,NA
OTU_261_ITS,441,OTU_261,Fungi,Ascomycota,Sordariomycetes,Coniochaetales,Coniochaetaceae,NA,NA
OTU_126_ITS,419,OTU_126,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Typhulaceae,Typhula,NA
OTU_201_ITS,399,OTU_201,Fungi,Basidiomycota,Microbotryomycetes,Sporidiobolales,Sporidiobolaceae,Sporobolomyces,roseus
OTU_118_ITS,398,OTU_118,Fungi,Ascomycota,Leotiomycetes,Thelebolales,Thelebolaceae,Thelebolus,globosus
OTU_197_ITS,376,OTU_197,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Neophaeosphaeriaceae,Neophaeosphaeria,livistonae
OTU_229_ITS,337,OTU_229,Fungi,NA,NA,NA,NA,NA,NA
OTU_128_ITS,328,OTU_128,Fungi,NA,NA,NA,NA,NA,NA
OTU_239_ITS,277,OTU_239,Fungi,Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,NA,NA
OTU_225_ITS,240,OTU_225,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Chaetomium,grande
OTU_137_ITS,228,OTU_137,Fungi,Basidiomycota,Agaricomycetes,NA,NA,NA,NA
OTU_66_ITS,228,OTU_66,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,NA
OTU_150_ITS,225,OTU_150,Fungi,Ascomycota,Pezizomycetes,Pezizales,Ascobolaceae,Ascobolus,NA
OTU_211_ITS,218,OTU_211,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Entoloma,NA
OTU_184_ITS,214,OTU_184,Fungi,Ascomycota,NA,NA,NA,NA,NA
OTU_77_ITS,211,OTU_77,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Linnemannia,amoeboidea
OTU_141_ITS,183,OTU_141,Fungi,Ascomycota,Leotiomycetes,Helotiales,Calloriaceae,Calloriaceae_gen_Incertae_sedis,NA
OTU_70_ITS,180,OTU_70,Fungi,Basidiomycota,Tremellomycetes,Cystofilobasidiales,Mrakiaceae,Mrakia,frigida
OTU_199_ITS,179,OTU_199,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Cyphellophoraceae,Cyphellophora,NA
OTU_58_ITS,178,OTU_58,Fungi,Ascomycota,Laboulbeniomycetes,Pyxidiophorales,Pyxidiophoraceae,Pyxidiophora,arvernensis
OTU_125_ITS,172,OTU_125,Fungi,Mortierellomycota,NA,NA,NA,NA,NA
OTU_275_ITS,166,OTU_275,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,rossicum
OTU_38_ITS,162,OTU_38,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Talaromyces,purpureogenus
OTU_238_ITS,135,OTU_238,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Pleurotaceae,Hohenbuehelia,bonii
OTU_196_ITS,133,OTU_196,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Bolbitiaceae,Conocybe,apala
OTU_134_ITS,128,OTU_134,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,Peziza,NA
OTU_519_ITS,126,OTU_519,Fungi,Ascomycota,NA,NA,NA,NA,NA
OTU_31_ITS,117,OTU_31,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Linnemannia,amoeboidea
OTU_173_ITS,116,OTU_173,Fungi,Ascomycota,Sordariomycetes,Hypocreales,NA,NA,NA
OTU_115_ITS,110,OTU_115,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Bolbitiaceae,Conocybe,subcrispa
OTU_156_ITS,109,OTU_156,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Metacordyceps,chlamydosporia
OTU_166_ITS,106,OTU_166,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,NA,NA
OTU_276_ITS,99,OTU_276,Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Schizothecium,NA
OTU_183_ITS,97,OTU_183,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Paraphoma,NA
OTU_101_ITS,95,OTU_101,Fungi,NA,NA,NA,NA,NA,NA
OTU_109_ITS,94,OTU_109,Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Schizothecium,NA
OTU_145_ITS,91,OTU_145,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,NA,NA
OTU_171_ITS,91,OTU_171,Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Schizothecium,NA
OTU_243_ITS,80,OTU_243,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Bionectriaceae,Clonostachys,phyllophila
