Sequence_ID,Organism,Isolation.Source,collection-date,geo_loc_name,strain
OTU_1,uncultured fungus,sunflower rhizosphere soil,2017,USA: ND,OTU_1
OTU_2,uncultured fungus,sunflower rhizosphere soil,2017,USA: ND,OTU_2
OTU_3,uncultured fungus,sunflower rhizosphere soil,2017,USA: ND,OTU_3
OTU_4,uncultured fungus,sunflower rhizosphere soil,2017,USA: ND,OTU_4
OTU_5,uncultured fungus,sunflower rhizosphere soil,2017,USA: ND,OTU_5
OTU_7,uncultured fungus,sunflower rhizosphere soil,2017,USA: ND,OTU_7
OTU_8,uncultured fungus,sunflower rhizosphere soil,2017,USA: ND,OTU_8
OTU_9,uncultured fungus,sunflower rhizosphere soil,2017,USA: ND,OTU_9
OTU_10,uncultured fungus,sunflower rhizosphere soil,2017,USA: ND,OTU_10
OTU_11,uncultured fungus,sunflower rhizosphere soil,2017,USA: ND,OTU_11
OTU_12,uncultured fungus,sunflower rhizosphere soil,2017,USA: ND,OTU_12
OTU_13,uncultured fungus,sunflower rhizosphere soil,2017,USA: ND,OTU_13
OTU_14,uncultured fungus,sunflower rhizosphere soil,2017,USA: ND,OTU_14
OTU_15,uncultured fungus,sunflower rhizosphere soil,2017,USA: ND,OTU_15
OTU_16,uncultured fungus,sunflower rhizosphere soil,2017,USA: ND,OTU_16
OTU_17,uncultured fungus,sunflower rhizosphere soil,2017,USA: ND,OTU_17
OTU_18,uncultured fungus,sunflower rhizosphere soil,2017,USA: ND,OTU_18
OTU_19,uncultured fungus,sunflower rhizosphere soil,2017,USA: ND,OTU_19
OTU_20,uncultured fungus,sunflower rhizosphere soil,2017,USA: ND,OTU_20
OTU_21,uncultured fungus,sunflower rhizosphere soil,2017,USA: ND,OTU_21
OTU_22,uncultured fungus,sunflower rhizosphere soil,2017,USA: ND,OTU_22
OTU_23,uncultured fungus,sunflower rhizosphere soil,2017,USA: ND,OTU_23
OTU_25,uncultured fungus,sunflower rhizosphere soil,2017,USA: ND,OTU_25
OTU_26,uncultured fungus,sunflower rhizosphere soil,2017,USA: ND,OTU_26
OTU_27,uncultured fungus,sunflower rhizosphere soil,2017,USA: ND,OTU_27
OTU_29,uncultured fungus,sunflower rhizosphere soil,2017,USA: ND,OTU_29
OTU_30,uncultured fungus,sunflower rhizosphere soil,2017,USA: ND,OTU_30
OTU_31,uncultured fungus,sunflower rhizosphere soil,2017,USA: ND,OTU_31
OTU_33,uncultured fungus,sunflower rhizosphere soil,2017,USA: ND,OTU_33
OTU_34,uncultured fungus,sunflower rhizosphere soil,2017,USA: ND,OTU_34
OTU_35,uncultured fungus,sunflower rhizosphere soil,2017,USA: ND,OTU_35
OTU_38,uncultured fungus,sunflower rhizosphere soil,2017,USA: ND,OTU_38
OTU_39,uncultured fungus,sunflower rhizosphere soil,2017,USA: ND,OTU_39
OTU_43,uncultured fungus,sunflower rhizosphere soil,2017,USA: ND,OTU_43
OTU_44,uncultured fungus,sunflower rhizosphere soil,2017,USA: ND,OTU_44
OTU_45,uncultured fungus,sunflower rhizosphere soil,2017,USA: ND,OTU_45
OTU_47,uncultured fungus,sunflower rhizosphere soil,2017,USA: ND,OTU_47
OTU_48,uncultured fungus,sunflower rhizosphere soil,2017,USA: ND,OTU_48
OTU_49,uncultured fungus,sunflower rhizosphere soil,2017,USA: ND,OTU_49
OTU_51,uncultured fungus,sunflower rhizosphere soil,2017,USA: ND,OTU_51
OTU_52,uncultured fungus,sunflower rhizosphere soil,2017,USA: ND,OTU_52
OTU_54,uncultured fungus,sunflower rhizosphere soil,2017,USA: ND,OTU_54
OTU_56,uncultured fungus,sunflower rhizosphere soil,2017,USA: ND,OTU_56
OTU_57,uncultured fungus,sunflower rhizosphere soil,2017,USA: ND,OTU_57
OTU_58,uncultured fungus,sunflower rhizosphere soil,2017,USA: ND,OTU_58
OTU_59,uncultured fungus,sunflower rhizosphere soil,2017,USA: ND,OTU_59
OTU_60,uncultured fungus,sunflower rhizosphere soil,2017,USA: ND,OTU_60
OTU_61,uncultured fungus,sunflower rhizosphere soil,2017,USA: ND,OTU_61
OTU_62,uncultured fungus,sunflower rhizosphere soil,2017,USA: ND,OTU_62
OTU_63,uncultured fungus,sunflower rhizosphere soil,2017,USA: ND,OTU_63
OTU_64,uncultured fungus,sunflower rhizosphere soil,2017,USA: ND,OTU_64
OTU_65,uncultured fungus,sunflower rhizosphere soil,2017,USA: ND,OTU_65
OTU_66,uncultured fungus,sunflower rhizosphere soil,2017,USA: ND,OTU_66
OTU_68,uncultured fungus,sunflower rhizosphere soil,2017,USA: ND,OTU_68
OTU_69,uncultured fungus,sunflower rhizosphere soil,2017,USA: ND,OTU_69
OTU_70,uncultured fungus,sunflower rhizosphere soil,2017,USA: ND,OTU_70
OTU_71,uncultured fungus,sunflower rhizosphere soil,2017,USA: ND,OTU_71
OTU_73,uncultured fungus,sunflower rhizosphere soil,2017,USA: ND,OTU_73
OTU_74,uncultured fungus,sunflower rhizosphere soil,2017,USA: ND,OTU_74
OTU_75,uncultured fungus,sunflower rhizosphere soil,2017,USA: ND,OTU_75
OTU_76,uncultured fungus,sunflower rhizosphere soil,2017,USA: ND,OTU_76
OTU_77,uncultured fungus,sunflower rhizosphere soil,2017,USA: ND,OTU_77
OTU_78,uncultured fungus,sunflower rhizosphere soil,2017,USA: ND,OTU_78
OTU_79,uncultured fungus,sunflower rhizosphere soil,2017,USA: ND,OTU_79
OTU_80,uncultured fungus,sunflower rhizosphere soil,2017,USA: ND,OTU_80
OTU_81,uncultured fungus,sunflower rhizosphere soil,2017,USA: ND,OTU_81
OTU_82,uncultured fungus,sunflower rhizosphere soil,2017,USA: ND,OTU_82
OTU_83,uncultured fungus,sunflower rhizosphere soil,2017,USA: ND,OTU_83
OTU_84,uncultured fungus,sunflower rhizosphere soil,2017,USA: ND,OTU_84
OTU_85,uncultured fungus,sunflower rhizosphere soil,2017,USA: ND,OTU_85
OTU_86,uncultured fungus,sunflower rhizosphere soil,2017,USA: ND,OTU_86
OTU_87,uncultured fungus,sunflower rhizosphere soil,2017,USA: ND,OTU_87
OTU_88,uncultured fungus,sunflower rhizosphere soil,2017,USA: ND,OTU_88
OTU_89,uncultured fungus,sunflower rhizosphere soil,2017,USA: ND,OTU_89
OTU_90,uncultured fungus,sunflower rhizosphere soil,2017,USA: ND,OTU_90
OTU_91,uncultured fungus,sunflower rhizosphere soil,2017,USA: ND,OTU_91
OTU_92,uncultured fungus,sunflower rhizosphere soil,2017,USA: ND,OTU_92
OTU_93,uncultured fungus,sunflower rhizosphere soil,2017,USA: ND,OTU_93
OTU_94,uncultured fungus,sunflower rhizosphere soil,2017,USA: ND,OTU_94
OTU_95,uncultured fungus,sunflower rhizosphere soil,2017,USA: ND,OTU_95
OTU_96,uncultured fungus,sunflower rhizosphere soil,2017,USA: ND,OTU_96
OTU_97,uncultured fungus,sunflower rhizosphere soil,2017,USA: ND,OTU_97
OTU_98,uncultured fungus,sunflower rhizosphere soil,2017,USA: ND,OTU_98
OTU_99,uncultured fungus,sunflower rhizosphere soil,2017,USA: ND,OTU_99
OTU_101,uncultured fungus,sunflower rhizosphere soil,2017,USA: ND,OTU_101
OTU_102,uncultured fungus,sunflower rhizosphere soil,2017,USA: ND,OTU_102
OTU_103,uncultured fungus,sunflower rhizosphere soil,2017,USA: ND,OTU_103
OTU_104,uncultured fungus,sunflower rhizosphere soil,2017,USA: ND,OTU_104
OTU_107,uncultured fungus,sunflower rhizosphere soil,2017,USA: ND,OTU_107
