ASV	Chrom	Pos	WaldPValue	GeneIDs	GeneIDs
OTU_100_16S	Ha412HOChr16	88622395	8.182992e-08	NoGenes	NoGenes
OTU_1004_16S	Ha412HOChr10	72948148	8.800234e-09	UDP-glucosyl_transferase_73B5,[LOW_BITSCORE]_LOB_domain-containing_protein_22,RmlC-like_cupins_superfamily_protein	Ha412HOChr10g0446901,Ha412HOChr10g0446921,Ha412HOChr10g0446931
OTU_1004_16S	Ha412HOChr13	119615080	3.567861e-08	LORELEI-LIKE-GPI-ANCHORED_PROTEIN_1,disease_resistance_family_protein_/_LRR_family_protein,C2H2_type_zinc_finger_transcription_factor_family	Ha412HOChr13g0611431,Ha412HOChr13g0611441,Ha412HOChr13g0611451
OTU_1004_16S	Ha412HOChr15	92140419	9.282410e-09	NoGenes	NoGenes
OTU_1015_16S	Ha412HOChr03	80326450	3.487351e-08	nodulin_MtN21_/EamA-like_transporter_family_protein,tubby_like_protein_10,BPS1-like_protein_(DUF793)	Ha412HOChr03g0108471,Ha412HOChr03g0108491,Ha412HOChr03g0108501
OTU_1015_16S	Ha412HOChr05	39325390	3.723468e-08	NoGenes	NoGenes
OTU_1015_16S	Ha412HOChr06	105315705	5.849591e-08	Ha412HOChr06g0277621,[LOW_BITSCORE]_GRAS_family_transcription_factor,Ha412HOChr06g0277641,[LOW_BITSCORE]_ARM_repeat_superfamily_protein,Acyl_transferase/acyl_hydrolase/lysophospholipase_superfamily_protein	Ha412HOChr06g0277621,Ha412HOChr06g0277631,Ha412HOChr06g0277641,Ha412HOChr06g0277651,Ha412HOChr06g0277691
OTU_1015_16S	Ha412HOChr06	105315708	5.849591e-08	Ha412HOChr06g0277621,[LOW_BITSCORE]_GRAS_family_transcription_factor,Ha412HOChr06g0277641,[LOW_BITSCORE]_ARM_repeat_superfamily_protein,Acyl_transferase/acyl_hydrolase/lysophospholipase_superfamily_protein	Ha412HOChr06g0277621,Ha412HOChr06g0277631,Ha412HOChr06g0277641,Ha412HOChr06g0277651,Ha412HOChr06g0277691
OTU_1015_16S	Ha412HOChr06	127552502	9.888593e-08	NoGenes	NoGenes
OTU_1015_16S	Ha412HOChr07	77472145	6.513894e-09	NoGenes	NoGenes
OTU_1015_16S	Ha412HOChr09	130005020	1.341929e-10	winged-helix_DNA-binding_transcription_factor_family_protein	Ha412HOChr09g0400101
OTU_1015_16S	Ha412HOChr11	110084159	5.170436e-08	[LOW_BITSCORE]_receptor_like_protein_28	Ha412HOChr11g0507741
OTU_1015_16S	Ha412HOChr13	165951682	4.201798e-10	myb_domain_protein_15,2-oxoglutarate_(2OG)_and_Fe(II)-dependent_oxygenase_superfamily_protein,2-oxoglutarate_(2OG)_and_Fe(II)-dependent_oxygenase_superfamily_protein	Ha412HOChr13g0628121,Ha412HOChr13g0628131,Ha412HOChr13g0628151
OTU_1015_16S	Ha412HOChr14	127051572	3.429589e-08	NoGenes	NoGenes
OTU_1015_16S	Ha412HOChr15	59632659	2.359276e-08	chlorophyll_A/B_binding_protein_1,Leucine-rich_repeat_protein_kinase_family_protein,Leucine-rich_repeat_protein_kinase_family_protein,receptor-like_protein_kinase_1	Ha412HOChr15g0716531,Ha412HOChr15g0716541,Ha412HOChr15g0716551,Ha412HOChr15g0716561
